OPEID,PELLID,Name,State,Type & Control,Recipients,Awards
101500,1015,ENTERPRISE-OZARK COMMUNITY COLLEGE,AL,public 2 year,775,"1,758,720"
106000,1060,FAULKNER STATE COMMUNITY COLLEGE,AL,public 2 year,"1,670","3,534,605"
100300,1003,FAULKNER UNIVERSITY,AL,private 4 year,"1,542","3,773,923"
446200,4462,GADSDEN BUSINESS COLLEGE,AL,proprietary,82,"131,369"
101700,1017,GADSDEN STATE COMMUNITY COLLEGE,AL,public 2 year,"2,453","5,728,017"
2323800,16445,GAITHER & COMPANY BEAUTY COLLEGE,AL,proprietary,43,"128,408"
101800,1018,GEORGE C. WALLACE COMMUNITY COLLEGE,AL,public 2 year,"1,946","3,387,562"
787100,7871,GEORGE C. WALLACE STATE COMMUNITY COLLEGE-MAIN CAMPUS,AL,public 2 year,"2,710","7,033,827"
569900,9980,GEORGE CORLEY WALLACE STATE COMMUNITY COLLEGE-CLANTON EXTENTION,AL,public 2 year,"1,729","4,314,357"
573400,5734,H. COUNCILL TRENHOLM STATE TECHNICAL COLLEGE,AL,public 2 year,"1,943","1,775,927"
2199700,15370,HERITAGE CHRISTIAN UNIVERSITY,AL,private 4 year,47,"115,462"
1019300,10193,HERZING COLLEGE,AL,proprietary,413,"935,288"
101900,1019,HUNTINGDON COLLEGE,AL,private 4 year,244,"582,212"
526000,5260,J F DRAKE STATE TECHNICAL COLLEGE,AL,public 2 year,611,"1,376,635"
102000,1020,JACKSONVILLE STATE UNIVERSITY,AL,public 4 year,"2,889","7,757,067"
102100,1021,JEFFERSON DAVIS COMMUNITY COLLEGE,AL,public 2 year,708,"1,586,402"
102200,1022,JEFFERSON STATE COMMUNITY COLLEGE,AL,public 2 year,"2,155","4,436,791"
102300,1023,JUDSON COLLEGE,AL,private 4 year,133,"310,212"
105900,1059,LAWSON STATE COMMUNITY COLLEGE,AL,public 2 year,"2,492","6,120,984"
898800,8988,LURLEEN B. WALLACE COMMUNITY COLLEGE,AL,public 2 year,807,"2,058,578"
102600,1026,MARION MILITARY INSTITUTE,AL,private 2 year,67,"197,142"
102800,1028,MILES COLLEGE,AL,private 4 year,"1,638","4,783,699"
103100,1031,NORTHEAST ALABAMA COMMUNITY COLLEGE,AL,public 2 year,"1,406","3,158,619"
569700,5697,NORTHWEST-SHOALS COMMUNITY COLLEGE,AL,public 2 year,"2,009","4,777,009"
103300,1033,OAKWOOD COLLEGE,AL,private 4 year,775,"2,219,786"
2296000,16217,PRINCE INSTITUTE OF PROFESSIONAL STUDIES,AL,proprietary,30,"59,063"
569200,5692,REID STATE TECHNICAL COLLEGE,AL,public 2 year,486,"944,710"
2605500,26055,REMINGTON COLLEGE - MOBILE CAMPUS,AL,proprietary,"4,086","10,046,242"
103600,1036,SAMFORD UNIVERSITY,AL,private 4 year,360,"936,730"
569100,5691,SHELTON STATE COMMUNITY COLLEGE,AL,public 2 year,"2,548","5,910,377"
103800,1038,SNEAD STATE COMMUNITY COLLEGE,AL,public 2 year,"1,083","2,592,321"
2270400,13857,SOUTHEASTERN BIBLE COLLEGE,AL,private 4 year,94,"213,468"
3459300,34593,SOUTHEASTERN SCHOOL OF COSMETOLOGY,AL,private 2 year,158,"499,214"
2503400,16885,SOUTHERN CHRISTIAN UNIVERSITY,AL,private 4 year,264,"655,266"
1123700,11237,SOUTHERN COMMUNITY COLLEGE,AL,private 2 year,105,"281,486"
104000,1040,SOUTHERN UNION STATE COMMUNITY COLLEGE,AL,public 2 year,"1,727","4,143,876"
104100,1041,SPRING HILL COLLEGE,AL,private 4 year,368,"898,207"
104400,1044,STILLMAN COLLEGE,AL,private 4 year,632,"1,950,093"
104600,1046,TALLADEGA COLLEGE,AL,private 4 year,294,"724,445"
104700,1047,TROY UNIVERSITY,AL,public 4 year,"7,266","17,924,080"
105000,1050,TUSKEGEE UNIVERSITY,AL,private 4 year,"1,271","3,766,552"
2170600,21706,UNITED STATES SPORTS ACADEMY,AL,private 4 year,31,"55,732"
105100,1051,UNIVERSITY OF ALABAMA,AL,public 4 year,"3,615","9,767,987"
105200,1052,UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,public 4 year,"3,411","8,988,577"
105500,1055,UNIVERSITY OF ALABAMA IN HUNTSVILLE,AL,public 4 year,"1,534","3,806,051"
102900,1029,UNIVERSITY OF MOBILE,AL,private 4 year,791,"1,794,759"
100400,1004,UNIVERSITY OF MONTEVALLO,AL,public 4 year,749,"1,940,963"
101600,1016,UNIVERSITY OF NORTH ALABAMA,AL,public 4 year,"1,609","4,268,832"
105700,1057,UNIVERSITY OF SOUTH ALABAMA,AL,public 4 year,"3,303","8,438,211"
102400,1024,UNIVERSITY OF WEST ALABAMA,AL,public 4 year,966,"2,786,193"
3010600,30106,VIRGINIA COLLEGE,AL,proprietary,"6,399","14,291,796"
3065100,30651,ARKADELPHIA BEAUTY COLLEGE,AR,proprietary,60,"156,246"
108700,1087,ARKANSAS BAPTIST COLLEGE,AR,private 4 year,197,"572,711"
3997300,39973,ARKANSAS BEAUTY COLLEGE,AR,proprietary,23,"46,609"
3005100,30051,ARKANSAS BEAUTY SCHOOL,AR,proprietary,71,"161,154"
3007600,30076,ARKANSAS BEAUTY SCHOOL/CONWAY,AR,proprietary,39,"86,506"
3023400,30234,ARKANSAS COLLEGE OF BARBERING & HAIR DESIGN,AR,proprietary,137,"286,886"
1286000,12860,ARKANSAS NORTHEASTERN COLLEGE,AR,public 2 year,"1,105","2,440,055"
109000,1090,ARKANSAS STATE UNIVERSITY,AR,public 4 year,"5,604","14,527,948"
109100,1091,ARKANSAS STATE UNIVERSITY - BEEBE,AR,public 2 year,"1,229","2,946,945"
108900,1089,ARKANSAS TECH UNIVERSITY,AR,public 4 year,"2,901","7,544,146"
2363500,15099,ARTHUR'S BEAUTY COLLEGE,AR,proprietary,81,"165,283"
2538500,17020,ARTHUR'S BEAUTY COLLEGE,AR,proprietary,259,"509,962"
3127200,31272,ASKINS VO TECH,AR,proprietary,15,"21,812"
3105200,31052,BAPTIST HEALTH MEDICAL CENTER,AR,private 2 year,397,"806,843"
2260400,14554,BEE JAY'S HAIRSTYLING ACADEMY,AR,proprietary,23,"58,783"
2052200,11948,BLACK RIVER TECHNICAL COLLEGE,AR,public 2 year,"1,083","2,538,501"
3212300,32123,BLYTHEVILLE ACADEMY OF COSMETOLOGY,AR,proprietary,20,"56,817"
2341700,16596,CAREER ACADEMY OF HAIR DESIGN,AR,proprietary,60,"132,740"
109300,1093,CENTRAL BAPTIST COLLEGE,AR,private 4 year,165,"382,227"
2220900,12432,COSSATOT COMMUNITY COLLEGE OF THE UNIVERSITY OF ARKANSAS,AR,public 2 year,493,"1,190,796"
3912300,39123,CROSSETT SCHOOL OF COSMETOLOGY,AR,proprietary,33,"69,308"
109500,1095,CROWLEY'S RIDGE COLLEGE,AR,private 2 year,59,"150,094"
704400,13583,CROWLEY'S RIDGE TECHNICAL INSTITUTE,AR,public 2 year,239,"536,059"
3116800,31168,DELUXE BEAUTY SCHOOL,AR,proprietary,13,"33,900"
1226000,12260,EAST ARKANSAS COMMUNITY COLLEGE,AR,public 2 year,832,"2,028,066"
2272400,16041,EASTERN COLLEGE OF HEALTH VOCATIONS,AR,proprietary,497,"1,024,567"
3124900,31249,EATON BEAUTY STYLIST COLLEGE,AR,proprietary,17,"28,493"
3855300,38553,ECCLESIA COLLEGE,AR,private 4 year,17,"48,031"
792100,8070,FAYETTEVILLE BEAUTY COLLEGE,AR,proprietary,65,"124,217"
109700,1097,HARDING UNIVERSITY,AR,private 4 year,"1,166","3,170,686"
109800,1098,HENDERSON STATE UNIVERSITY,AR,public 4 year,"1,559","4,201,114"
109900,1099,HENDRIX COLLEGE,AR,private 4 year,202,"557,560"
3007100,30071,HOT SPRINGS BEAUTY COLLEGE,AR,proprietary,58,"137,143"
2330800,16498,JEFFERSON SCHOOL OF NURSING,AR,private 2 year,52,"89,116"
110000,1100,JOHN BROWN UNIVERSITY,AR,private 4 year,500,"1,154,368"
2525800,16925,LEES SCHOOL OF COSMETOLOGY,AR,proprietary,40,"108,670"
3519400,35194,LYNNDALE FUNDAMENTALS OF BEAUTY SCHOOL,AR,proprietary,28,"67,822"
108800,1088,LYON COLLEGE,AR,private 4 year,189,"560,706"
3254300,32543,MARGARET'S  HAIR ACADEMY,AR,proprietary,62,"129,394"
2287400,16123,MARSHA KAY BEAUTY COLLEGE,AR,proprietary,22,"59,110"
1074100,10741,MELLIE'S BEAUTY COLLEGE,AR,proprietary,36,"49,923"
2348200,15862,MID-SOUTH COMMUNITY COLLEGE,AR,public 2 year,769,"1,463,707"
1210500,12105,NATIONAL PARK COMMUNITY COLLEGE,AR,public 2 year,"1,347","2,950,413"
2284200,16053,NEW TYLER BARBER COLLEGE,AR,proprietary,90,"250,520"
1226100,12261,NORTH ARKANSAS COLLEGE,AR,public 2 year,"1,219","3,078,513"
3688300,36883,NORTHWEST ARKANSAS AVIATION TECHNOLOGIES CENTER,AR,private 2 year,33,"69,539"
3063300,30633,NORTHWEST ARKANSAS COMMUNITY COLLEGE,AR,public 2 year,"1,293","2,596,654"
2073700,14044,NORTHWEST TECHNICAL INSTITUTE,AR,public 2 year,179,"291,624"
110200,1102,OUACHITA BAPTIST UNIVERSITY,AR,private 4 year,352,"958,440"
997600,9976,OUACHITA TECHNICAL COLLEGE,AR,public 2 year,504,"1,145,083"
2087000,13217,OZARKA COLLEGE,AR,public 2 year,676,"1,741,347"
110300,1103,PHILANDER SMITH COLLEGE,AR,private 4 year,636,"1,873,155"
110400,1104,PHILLIPS COMMUNITY COLLEGE OF THE UNIVERSITY OF ARKANSAS,AR,public 2 year,"1,194","2,895,363"
2202400,15585,PROFESSIONAL COSMETOLOGY EDUCATION CENTER,AR,proprietary,55,"149,619"
2075300,14167,PULASKI TECHNICAL COLLEGE,AR,public 2 year,"5,047","12,893,722"
2111100,12435,RICH MOUNTAIN COMMUNITY COLLEGE,AR,public 2 year,408,"990,140"
2569600,17262,SEARCY BEAUTY COLLEGE,AR,proprietary,58,"136,982"
2074600,13858,SOUTH ARKANSAS COMMUNITY COLLEGE,AR,public 2 year,741,"1,702,281"
570700,14893,SOUTHEAST ARKANSAS COLLEGE,AR,public 2 year,"1,134","2,839,734"
110700,1107,SOUTHERN ARKANSAS UNIVERSITY,AR,public 4 year,"1,450","4,084,051"
773800,7738,SOUTHERN ARKANSAS UNIVERSITY TECH,AR,public 2 year,363,"919,716"
110800,1108,UNIVERSITY OF ARKANSAS,AR,public 4 year,"3,069","7,977,742"
111000,1110,UNIVERSITY OF ARKANSAS AT FORT SMITH,AR,public 4 year,"2,823","6,662,465"
110100,1101,UNIVERSITY OF ARKANSAS AT LITTLE ROCK,AR,public 4 year,"4,332","10,468,287"
108500,1085,UNIVERSITY OF ARKANSAS AT MONTICELLO,AR,public 4 year,"1,743","4,611,516"
108600,1086,UNIVERSITY OF ARKANSAS AT PINE BLUFF,AR,public 4 year,"2,302","6,773,739"
2073500,14042,UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE AT BATESVILLE,AR,public 2 year,982,"2,240,164"
573200,5732,UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE AT HOPE,AR,public 2 year,616,"1,438,906"
524500,5245,UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE AT MORRILTON,AR,public 2 year,"1,017","2,356,603"
110900,1109,UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES,AR,public 4 year,291,"797,673"
109200,1092,UNIVERSITY OF CENTRAL ARKANSAS,AR,public 4 year,"3,543","9,515,328"
109400,1094,UNIVERSITY OF THE OZARKS,AR,private 4 year,180,"533,225"
3214300,32143,VELVATEX COLLEGE OF BEAUTY CULTURE,AR,proprietary,23,"52,677"
110600,1106,WILLIAMS BAPTIST COLLEGE,AR,private 4 year,281,"696,229"
1001000,10010,AMERICAN SAMOA COMMUNITY COLLEGE,AS,public 2 year,"1,136","2,966,719"
2199900,15550,AMERICAN INDIAN COLLEGE OF THE ASSEMBLIES OF GOD,AZ,private 4 year,53,"147,782"
2317800,16405,AMERICAN INSTITUTE OF TECHNOLOGY,AZ,proprietary,447,"656,870"
2100600,14550,APOLLO COLLEGE,AZ,proprietary,"3,365","8,130,004"
886400,8864,ARIZONA ACADEMY OF BEAUTY,AZ,proprietary,66,"134,091"
1180200,11802,ARIZONA ACADEMY OF BEAUTY - NORTH,AZ,proprietary,71,"177,354"
1084700,10847,ARIZONA AUTOMOTIVE INSTITUTE,AZ,proprietary,863,"2,015,497"
3115000,31150,ARIZONA COLLEGE OF ALLIED HEALTH,AZ,proprietary,370,"746,115"
108100,1081,ARIZONA STATE UNIVERSITY,AZ,public 4 year,"12,223","31,092,398"
107100,1071,ARIZONA WESTERN COLLEGE,AZ,public 2 year,"2,761","6,075,806"
2491500,16730,ART CENTER DESIGN COLLEGE (THE),AZ,proprietary,378,"899,230"
1180800,11808,ARTISTIC BEAUTY COLLEGES - FLAGSTAFF,AZ,proprietary,292,"593,838"
2220300,15694,ARTISTIC BEAUTY COLLEGES - GLENDALE,AZ,proprietary,184,"404,950"
1234300,12343,ARTISTIC BEAUTY COLLEGES - PHOENIX,AZ,proprietary,222,"467,054"
1293700,12937,ARTISTIC BEAUTY COLLEGES - SCOTTSDALE,AZ,proprietary,44,"107,534"
886500,8865,ARTISTIC BEAUTY COLLEGES - TUCSON,AZ,proprietary,359,"786,815"
3076400,30764,BRYMAN SCHOOL (THE) - PHOENIX,AZ,proprietary,"6,117","14,613,577"
3097800,30978,CARSTEN INSTITUTE,AZ,proprietary,93,"197,550"
728300,7283,CENTRAL ARIZONA COLLEGE,AZ,public 2 year,"1,437","3,222,516"
3072200,30722,CHANDLER-GILBERT COMMUNITY COLLEGE,AZ,public 2 year,"1,173","2,247,838"
945100,9451,CHAPARRAL COLLEGE,AZ,proprietary,447,"1,028,568"
2280500,16098,CHARLES OF ITALY BEAUTY COLLEGE,AZ,proprietary,96,"235,706"
107200,1072,COCHISE COLLEGE,AZ,public 2 year,"1,738","3,848,412"
3100400,31004,COCONINO COUNTY COMMUNITY COLLEGE-FLAGSTAFF LONE TREE CAMPUS,AZ,public 2 year,731,"1,398,384"
3120300,31203,COLLEGE AMERICA - FLAGSTAFF,AZ,proprietary,337,"962,960"
2174900,15333,COLLINS COLLEGE,AZ,proprietary,"1,361","3,428,607"
3034400,30344,CONSERVATORY OF RECORDING ARTS & SCIENCES,AZ,proprietary,261,"564,659"
2582700,25827,DESERT INSTITUTE OF THE HEALING ARTS,AZ,proprietary,78,"170,721"
2173300,15324,DEVOE COLLEGE OF BEAUTY,AZ,proprietary,32,"60,525"
824600,8246,DINE COLLEGE,AZ,public 2 year,"1,257","3,249,744"
1085800,10858,EARL'S ACADEMY OF BEAUTY,AZ,proprietary,175,"357,189"
3572300,35723,EAST VALLEY INSTITUTE OF TECHNOLOGY,AZ,public 2 year,18,"33,880"
107300,1073,EASTERN ARIZONA COLLEGE,AZ,public 2 year,"1,187","2,830,949"
3156300,31563,ESTRELLA MOUNTAIN COMMUNITY COLLEGE,AZ,public 2 year,"1,484","2,779,397"
2295000,16203,EVEREST COLLEGE,AZ,proprietary,"1,384","2,668,662"
830300,8303,GATEWAY COMMUNITY COLLEGE,AZ,public 2 year,"1,992","3,691,386"
107600,1076,GLENDALE COMMUNITY COLLEGE,AZ,public 2 year,"4,352","8,597,683"
107400,1074,GRAND CANYON UNIVERSITY,AZ,proprietary,613,"1,300,440"
3445300,34453,HDS TRUCK DRIVING INSTITUTE,AZ,proprietary,92,"215,144"
2263100,15988,HIGH-TECH INSTITUTE - PHOENIX,AZ,proprietary,"7,587","17,342,648"
1218400,14283,INTERNATIONAL ACADEMY OF HAIR DESIGN,AZ,proprietary,96,"182,039"
3347300,33473,INTERNATIONAL BAPTIST COLLEGE,AZ,private 4 year,24,"71,050"
2218800,15681,INTERNATIONAL INSTITUTE OF THE AMERICAS,AZ,private 4 year,"1,908","5,354,085"
2521500,5186,LAMSON COLLEGE,AZ,proprietary,363,"821,175"
2071200,13884,LONG TECHNICAL COLLEGE,AZ,proprietary,346,"851,000"
2181300,15391,LONG TECHNICAL COLLEGE,AZ,proprietary,134,"314,125"
2192300,15491,MARICOPA BEAUTY COLLEGE,AZ,proprietary,61,"152,373"
107700,1077,MESA COMMUNITY COLLEGE,AZ,public 2 year,"5,407","11,103,520"
3081200,30812,METROPOLITAN COLLEGE,AZ,private 4 year,51,"124,132"
1186400,11864,MOHAVE COMMUNITY COLLEGE,AZ,public 2 year,"2,235","4,996,228"
3004700,30047,MUNDUS INSTITUTE,AZ,proprietary,30,"70,617"
108200,1082,NORTHERN ARIZONA UNIVERSITY,AZ,public 4 year,"4,472","11,801,249"
1186200,11862,NORTHLAND PIONEER COLLEGE,AZ,public 2 year,777,"1,600,667"
2623600,26236,PARADISE VALLEY COMMUNITY COLLEGE,AZ,public 2 year,"1,451","2,825,405"
107800,1078,PHOENIX COLLEGE,AZ,public 2 year,"3,196","6,780,198"
2623800,26238,PHOENIX THERAPEUTIC MASSAGE COLLEGE,AZ,proprietary,123,"246,060"
726600,7266,PIMA COUNTY COMMUNITY COLLEGE,AZ,public 2 year,"7,304","15,664,557"
2217100,15666,PIMA MEDICAL INSTITUTE,AZ,proprietary,"4,348","10,382,651"
2065300,13659,PRESCOTT COLLEGE,AZ,private 4 year,378,"950,369"
2177500,14483,RIO SALADO COMMUNITY COLLEGE,AZ,public 2 year,"2,576","4,183,991"
2113800,14740,ROBERTO-VENN SCHOOL OF LUTHIERY,AZ,proprietary,18,"37,448"
3005000,30050,SAFFORD COLLEGE OF BEAUTY CULTURE,AZ,proprietary,55,"182,425"
830400,8304,SCOTTSDALE COMMUNITY COLLEGE,AZ,public 2 year,"1,517","3,054,262"
2616700,26167,SCOTTSDALE CULINARY INSTITUTE,AZ,proprietary,"1,122","2,865,121"
2146600,15001,SOUTH MOUNTAIN COMMUNITY COLLEGE,AZ,public 2 year,"1,590","3,239,581"
3593300,35933,SOUTHWEST INSTITUTE OF HEALING ARTS,AZ,proprietary,124,"235,840"
711300,7113,SOUTHWESTERN COLLEGE,AZ,private 4 year,94,"267,888"
1168900,14127,THE REFRIGERATION SCHOOL,AZ,proprietary,275,"582,287"
3784400,37844,TOHONO O'ODHAM COMMUNITY COLLEGE,AZ,private 2 year,83,"212,367"
2561900,25619,TONI AND GUY HAIRDRESSING ACADEMY,AZ,proprietary,110,"243,647"
446700,14212,TUCSON COLLEGE,AZ,proprietary,530,"1,284,101"
4059300,40593,TUCSON COLLEGE OF BEAUTY,AZ,proprietary,6,"13,850"
3740500,37405,TUCSON DESIGN COLLEGE,AZ,proprietary,119,"251,368"
3814300,38143,TURNING POINT BEAUTY COLLEGE,AZ,proprietary,21,"38,720"
822100,8221,UNIVERSAL TECHNICAL INSTITUTE,AZ,proprietary,"5,028","11,752,144"
2100500,14518,UNIVERSAL TECHNICAL INSTITUTE,AZ,proprietary,"3,294","8,179,063"
2559000,17188,UNIVERSITY OF ADVANCING COMPUTER TECHNOLOGY,AZ,proprietary,384,"952,665"
108300,1083,UNIVERSITY OF ARIZONA (THE),AZ,public 4 year,"6,603","17,497,266"
2098800,14593,UNIVERSITY OF PHOENIX,AZ,proprietary,"65,991","133,552,051"
2171500,14970,WESTERN INTERNATIONAL UNIVERSITY,AZ,proprietary,"32,083","70,770,923"
107900,1079,YAVAPAI COLLEGE,AZ,public 2 year,"1,454","2,788,624"
3150500,31505,A - TECHNICAL COLLEGE,CA,proprietary,78,"225,058"
3662400,36624,ACADEMY EDUCATION SERVICES,CA,proprietary,80,"173,943"
753100,7531,ACADEMY OF ART UNIVERSITY,CA,proprietary,"2,086","4,733,001"
2342400,23424,ACADEMY OF RADIO & TV BROADCASTING,CA,proprietary,92,"222,523"
760500,7605,ACADEMY PACIFIC TRAVEL COLLEGE,CA,proprietary,83,"237,067"
3327400,33274,"ACUPUNCTURE AND INTEGRATIVE MEDICINE COLLEGE, BERKELEY",CA,private 4 year,5,"13,387"
3019900,30199,ADELANTE CAREER INSTITUTE,CA,proprietary,163,"380,885"
3736300,37363,ADVANCE BEAUTY COLLEGE,CA,proprietary,324,"775,174"
3786300,37863,ADVANCED COLLEGE,CA,proprietary,103,"222,594"
3532400,35324,ADVANCED TRAINING ASSOCIATES,CA,proprietary,3,"9,720"
2258600,14046,ALAMEDA BEAUTY COLLEGE,CA,proprietary,87,"207,743"
2282300,14260,ALHAMBRA BEAUTY COLLEGE,CA,proprietary,206,"541,504"
111100,1111,ALLAN HANCOCK COLLEGE,CA,public 2 year,"1,377","3,123,096"
1111700,11117,ALLIANT INTERNATIONAL UNIVERSITY,CA,private 4 year,104,"281,303"
2106900,14801,AMERICAN ACADEMY OF DRAMATIC ARTS-WEST,CA,private 2 year,64,"202,400"
3969600,39696,AMERICAN AUTO INSTITUTE,CA,proprietary,47,"115,442"
1307400,13074,AMERICAN BEAUTY COLLEGE,CA,proprietary,59,"155,990"
2241800,15829,AMERICAN CAREER COLLEGE,CA,proprietary,"3,110","7,319,020"
3971300,39713,AMERICAN CAREER COLLEGE,CA,proprietary,226,"563,254"
4011900,40119,AMERICAN COLLEGE OF CALIFORNIA,CA,proprietary,1,"1,260"
3144400,31444,AMERICAN COLLEGE OF HEALTH PROFESSIONS,CA,proprietary,52,"145,150"
3138400,31384,AMERICAN COLLEGE OF MEDICAL TECHNOLOGY,CA,proprietary,495,"1,224,965"
2099200,14545,AMERICAN CONSERVATORY THEATER FOUNDATION,CA,private 4 year,2,"8,100"
3225300,32253,AMERICAN INSTITUTE OF HEALTH SCIENCES,CA,proprietary,72,"176,910"
3962300,39623,AMERICAN INSTITUTE OF MASSAGE THERAPY,CA,proprietary,2,"5,500"
3722300,37223,AMERICAN MEDICAL SCIENCES CENTER,CA,proprietary,9,"22,734"
123200,1232,AMERICAN RIVER COLLEGE,CA,public 2 year,"6,592","14,580,266"
111300,1113,ANTELOPE VALLEY COLLEGE,CA,public 2 year,"3,574","7,573,149"
3427500,34275,ANTELOPE VALLEY MEDICAL COLLEGE,CA,proprietary,486,"1,190,483"
111600,1116,ART CENTER COLLEGE OF DESIGN,CA,private 4 year,746,"2,313,709"
723600,7236,ART INSTITUTE OF CALIFORNIA - LOS ANGELES (THE),CA,proprietary,"3,034","7,429,756"
2327600,16471,ART INSTITUTE OF CALIFORNIA - SAN DIEGO,CA,proprietary,989,"2,301,297"
2595600,25956,ASIAN - AMERICAN INTERNATIONAL BEAUTY COLLEGE,CA,proprietary,151,"419,923"
902200,13988,ASSOCIATED TECHNICAL COLLEGE,CA,proprietary,649,"2,172,619"
2553500,17135,ASSOCIATED TECHNICAL COLLEGE -,CA,proprietary,62,"155,795"
3740400,37404,ATI COLLEGE,CA,proprietary,81,"178,793"
3598300,35983,AVALON BEAUTY COLLEGE,CA,proprietary,43,"125,218"
2519800,16894,AVANCE BEAUTY COLLEGE,CA,proprietary,54,"150,242"
111700,1117,AZUSA PACIFIC UNIVERSITY,CA,private 4 year,957,"2,255,522"
111800,1118,BAKERSFIELD COLLEGE,CA,public 2 year,"7,588","16,729,871"
3067400,30674,BALDWIN PARK ADULT SCHOOL,CA,public 2 year,137,"246,551"
111900,1119,BARSTOW COMMUNITY COLLEGE,CA,public 2 year,938,"1,999,943"
705000,7050,BAY VISTA COLLEGE OF BEAUTY,CA,proprietary,149,"391,581"
2242700,14311,BERKELEY CITY COLLEGE,CA,public 2 year,"1,010","2,291,729"
112100,1121,BETHANY UNIVERSITY OF THE ASSEMBLIES OF GOD,CA,private 4 year,221,"538,326"
3266300,32663,BETHESDA CHRISTIAN UNIVERSITY,CA,private 4 year,27,"75,077"
112200,1122,BIOLA UNIVERSITY,CA,private 4 year,892,"2,164,286"
2065500,13703,BROOKS COLLEGE,CA,proprietary,780,"1,875,968"
112300,1123,BROOKS INSTITUTE OF PHOTOGRAPHY -,CA,proprietary,"1,016","2,824,413"
2543400,17050,BROWNSON TECHNICAL SCHOOL,CA,proprietary,61,"113,326"
716400,7164,BRYAN COLLEGE OF COURT REPORTING,CA,proprietary,213,"460,314"
760600,7606,BRYMAN COLLEGE,CA,proprietary,610,"1,181,935"
809000,8090,BRYMAN COLLEGE,CA,proprietary,"1,191","2,696,940"
1102400,11024,BRYMAN COLLEGE,CA,proprietary,"2,692","6,076,913"
1110700,11107,BRYMAN COLLEGE,CA,proprietary,688,"1,288,474"
1110900,11109,BRYMAN COLLEGE,CA,proprietary,667,"1,432,344"
1112100,11121,BRYMAN COLLEGE,CA,proprietary,947,"1,408,817"
1112300,11123,BRYMAN COLLEGE,CA,proprietary,"1,842","3,969,785"
3195400,31954,BRYMAN COLLEGE,CA,proprietary,264,"542,087"
449400,4494,BRYMAN COLLEGE,CA,proprietary,"1,019","2,293,399"
1206100,12061,BRYMAN COLLEGE,CA,proprietary,450,"875,737"
3072300,30723,BRYMAN COLLEGE,CA,proprietary,"1,832","3,431,626"
807300,6972,BUTTE COLLEGE,CA,public 2 year,"4,020","9,597,746"
112400,1124,CABRILLO COLLEGE,CA,public 2 year,"2,090","4,598,059"
112500,1125,CALIFORNIA BAPTIST UNIVERSITY,CA,private 4 year,876,"2,093,709"
2065700,13828,CALIFORNIA BEAUTY COLLEGE,CA,proprietary,41,"121,527"
3467300,34673,CALIFORNIA BEAUTY COLLEGE,CA,proprietary,102,"241,998"
