OPEID,PELLID,Name,State,Type & Control,Recipients,Awards
3212300,32123,BLYTHEVILLE ACADEMY OF COSMETOLOGY,AR,proprietary,13,"42,942"
2341700,16596,CAREER ACADEMY OF HAIR DESIGN,AR,proprietary,47,"109,560"
109300,1093,CENTRAL BAPTIST COLLEGE,AR,private 4 year,174,"407,400"
2220900,12432,COSSATOT COMMUNITY COLLEGE OF THE UNIVERSITY OF ARKAN,AR,public 2 year,548,"1,334,880"
3912300,39123,CROSSETT SCHOOL OF COSMETOLOGY,AR,proprietary,29,"63,374"
109500,1095,CROWLEY'S RIDGE COLLEGE,AR,private 2 year,70,"177,599"
704400,13583,CROWLEY'S RIDGE TECHNICAL INSTITUTE,AR,public 2 year,193,"479,944"
3116800,31168,DELUXE BEAUTY SCHOOL,AR,proprietary,11,"28,309"
1226000,12260,EAST ARKANSAS COMMUNITY COLLEGE,AR,public 2 year,867,"2,214,407"
2272400,16041,EASTERN COLLEGE OF HEALTH VOCATIONS,AR,proprietary,609,"1,301,671"
3855300,38553,ECCLESIA COLLEGE,AR,private 4 year,35,"110,312"
792100,8070,FAYETTEVILLE BEAUTY COLLEGE,AR,proprietary,59,"127,720"
3124900,31249,"HAIR ACADEMY OF LITTLE ROCK, A PAUL MITCHELL PARTNER",AR,proprietary,12,"28,983"
109700,1097,HARDING UNIVERSITY,AR,private 4 year,"1,086","2,951,076"
109800,1098,HENDERSON STATE UNIVERSITY,AR,public 4 year,"1,444","3,919,540"
109900,1099,HENDRIX COLLEGE,AR,private 4 year,195,"553,069"
3007100,30071,HOT SPRINGS BEAUTY COLLEGE,AR,proprietary,57,"143,414"
2330800,16498,JEFFERSON SCHOOL OF NURSING,AR,private 2 year,48,"99,266"
110000,1100,JOHN BROWN UNIVERSITY,AR,private 4 year,464,"1,064,809"
2525800,16925,LEES SCHOOL OF COSMETOLOGY,AR,proprietary,36,"105,842"
3519400,35194,LYNNDALE FUNDAMENTALS OF BEAUTY SCHOOL,AR,proprietary,23,"63,859"
108800,1088,LYON COLLEGE,AR,private 4 year,181,"500,810"
3254300,32543,MARGARET'S  HAIR ACADEMY,AR,proprietary,50,"130,065"
2287400,16123,MARSHA KAY BEAUTY COLLEGE,AR,proprietary,21,"45,019"
1074100,10741,MELLIE'S BEAUTY COLLEGE,AR,proprietary,47,"86,224"
2348200,15862,MID-SOUTH COMMUNITY COLLEGE,AR,public 2 year,909,"1,742,227"
1210500,12105,NATIONAL PARK COMMUNITY COLLEGE,AR,public 2 year,"1,323","3,042,254"
2284200,16053,NEW TYLER BARBER COLLEGE,AR,proprietary,102,"270,943"
1226100,12261,NORTH ARKANSAS COLLEGE,AR,public 2 year,"1,107","2,713,727"
3063300,30633,NORTHWEST ARKANSAS COMMUNITY COLLEGE,AR,public 2 year,"1,355","2,807,964"
2073700,14044,NORTHWEST TECHNICAL INSTITUTE,AR,public 2 year,157,"286,696"
110200,1102,OUACHITA BAPTIST UNIVERSITY,AR,private 4 year,326,"862,597"
997600,9976,OUACHITA TECHNICAL COLLEGE,AR,public 2 year,456,"1,032,217"
2087000,13217,OZARKA COLLEGE,AR,public 2 year,646,"1,726,153"
110300,1103,PHILANDER SMITH COLLEGE,AR,private 4 year,474,"1,340,644"
110400,1104,PHILLIPS COMMUNITY COLLEGE OF THE UNIVERSITY OF ARKAN,AR,public 2 year,"1,062","2,557,183"
2202400,15585,PROFESSIONAL COSMETOLOGY EDUCATION CENTER,AR,proprietary,55,"153,747"
2075300,14167,PULASKI TECHNICAL COLLEGE,AR,public 2 year,"5,644","13,795,872"
2111100,12435,RICH MOUNTAIN COMMUNITY COLLEGE,AR,public 2 year,420,"1,007,353"
2569600,17262,SEARCY BEAUTY COLLEGE,AR,proprietary,71,"149,516"
2074600,13858,SOUTH ARKANSAS COMMUNITY COLLEGE,AR,public 2 year,684,"1,586,675"
570700,14893,SOUTHEAST ARKANSAS COLLEGE,AR,public 2 year,"1,166","2,836,258"
110700,1107,SOUTHERN ARKANSAS UNIVERSITY,AR,public 4 year,"1,417","3,971,021"
773800,7738,SOUTHERN ARKANSAS UNIVERSITY TECH,AR,public 2 year,343,"833,243"
110800,1108,UNIVERSITY OF ARKANSAS,AR,public 4 year,"2,915","7,826,242"
111000,1110,UNIVERSITY OF ARKANSAS AT FORT SMITH,AR,public 4 year,"2,708","6,616,902"
110100,1101,UNIVERSITY OF ARKANSAS AT LITTLE ROCK,AR,public 4 year,"3,917","9,742,181"
108500,1085,UNIVERSITY OF ARKANSAS AT MONTICELLO,AR,public 4 year,"1,698","4,462,899"
108600,1086,UNIVERSITY OF ARKANSAS AT PINE BLUFF,AR,public 4 year,"2,191","6,521,259"
2073500,14042,UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE AT BATESVILL,AR,public 2 year,871,"2,072,752"
573200,5732,UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE AT HOPE,AR,public 2 year,635,"1,536,976"
524500,5245,UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE AT MORRILTON,AR,public 2 year,"1,002","2,113,188"
110900,1109,UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES,AR,public 4 year,324,"873,134"
109200,1092,UNIVERSITY OF CENTRAL ARKANSAS,AR,public 4 year,"3,553","9,680,793"
109400,1094,UNIVERSITY OF THE OZARKS,AR,private 4 year,166,"491,958"
3214300,32143,VELVATEX COLLEGE OF BEAUTY CULTURE,AR,proprietary,30,"85,992"
110600,1106,WILLIAMS BAPTIST COLLEGE,AR,private 4 year,266,"714,753"
1001000,10010,AMERICAN SAMOA COMMUNITY COLLEGE,AS,public 2 year,"1,378","3,631,759"
2199900,15550,AMERICAN INDIAN COLLEGE OF THE ASSEMBLIES OF GOD,AZ,private 4 year,53,"134,463"
2317800,16405,AMERICAN INSTITUTE OF TECHNOLOGY,AZ,proprietary,553,"761,233"
2263100,15988,ANTHEM COLLEGE,AZ,proprietary,"8,313","18,558,483"
2100600,14550,APOLLO COLLEGE,AZ,proprietary,"3,399","8,542,070"
886400,8864,ARIZONA ACADEMY OF BEAUTY,AZ,proprietary,53,"139,777"
1180200,11802,ARIZONA ACADEMY OF BEAUTY - NORTH,AZ,proprietary,55,"124,591"
1084700,10847,ARIZONA AUTOMOTIVE INSTITUTE,AZ,proprietary,826,"2,057,920"
3115000,31150,ARIZONA COLLEGE OF ALLIED HEALTH,AZ,proprietary,281,"559,564"
4120900,41209,ARIZONA CULINARY INSTITUTE,AZ,proprietary,6,"13,800"
108100,1081,ARIZONA STATE UNIVERSITY,AZ,public 4 year,"11,783","30,369,110"
107100,1071,ARIZONA WESTERN COLLEGE,AZ,public 2 year,"3,010","6,812,903"
2491500,16730,ART CENTER DESIGN COLLEGE (THE),AZ,proprietary,359,"868,678"
4051300,40513,ART INSTITUTE OF PHOENIX (THE),AZ,proprietary,577,"1,368,222"
