OPEID,NAME,CITY,STATE,Insttype,Recips,Awards
101200,BIRMINGHAM SOUTHERN COLLEGE,BIRMINGHAM,AL,Private 4 Year,283,"1,150,377"
103000,BISHOP STATE COMMUNITY COLLEGE,MOBILE,AL,Public 2 Year,"3,317","11,792,757"
3783300,BLUE CLIFF CAREER COLLEGE,MOBILE,AL,Proprietary 2 Year,131,"452,941"
101300,CALHOUN COMMUNITY COLLEGE,DECATUR,AL,Public 2 Year,"6,514","21,448,839"
4066300,CARDIAC AND VASCULAR INSTITUTE OF ULTRAS,MOBILE,AL,Proprietary 2 Year,42,"186,891"
100700,CENTRAL ALABAMA COMMUNITY COLLEGE,ALEXANDER CITY,AL,Public 2 Year,"1,954","7,059,539"
1218200,CHATTAHOOCHEE VALLEY CMTY CLG,PHENIX CITY,AL,Public 2 Year,"1,329","4,770,574"
4121500,COLUMBIA SOUTHERN UNIVERSITY,ORANGE BEACH,AL,Proprietary 4 Year,"4,422","14,684,024"
1055400,CONCORDIA COLLEGE,SELMA,AL,Private 4 Year,741,"2,983,134"
101500,ENTERPRISE STATE COMMUNITY COLLEGE,ENTERPRISE,AL,Public 2 Year,"1,752","6,656,481"
106000,FAULKNER STATE COMMUNITY COLLEGE,BAY MINETTE,AL,Public 2 Year,"3,133","11,038,791"
100300,FAULKNER UNIVERSITY,MONTGOMERY,AL,Private 4 Year,"2,193","8,574,276"
2341000,FORTIS COLLEGE,MOBILE,AL,Proprietary 2 Year,"2,222","7,857,971"
3361400,FORTIS COLLEGE,FOLEY,AL,Proprietary 2 Year,633,"2,127,690"
101700,GADSDEN STATE COMMUNITY COLLEGE,GADSDEN,AL,Public 2 Year,"5,431","18,533,606"
101800,GEORGE C WALLACE COMMUNITY COLLEGE,DOTHAN,AL,Public 2 Year,"3,813","12,599,291"
787100,GEORGE C WALLACE STATE CMTY CLG,HANCEVILLE,AL,Public 2 Year,"3,720","13,715,670"
569900,GEORGE C WALLACE STATE CMTY COLLEGE,SELMA,AL,Public 2 Year,"2,007","7,489,516"
573400,H. COUNCILL TRENHOLM STATE TECH COLLEGE,MONTGOMERY,AL,Public 2 Year,"1,492","5,093,484"
4187300,HAIR ACADEMY (THE),MONTGOMERY,AL,Proprietary 2 Year,36,"188,475"
2199700,HERITAGE CHRISTIAN UNIVERSITY,FLORENCE,AL,Private 4 Year,33,"109,619"
101900,HUNTINGDON COLLEGE,MONTGOMERY,AL,Private 4 Year,506,"2,032,174"
3894300,HUNTSVILLE BIBLE COLLEGE,HUNTSVILLE,AL,Private 4 Year,60,"213,297"
526000,J.F. DRAKE STATE TECH COLLEGE,HUNTSVILLE,AL,Public 2 Year,"1,210","3,856,652"
102000,JACKSONVILLE STATE UNIVERSITY,JACKSONVILLE,AL,Public 4 Year,"4,141","16,608,655"
102100,JEFFERSON DAVIS COMMUNITY COLLEGE,BREWTON,AL,Public 2 Year,914,"2,977,068"
102200,JEFFERSON STATE COMMUNITY COLLEGE,BIRMINGHAM,AL,Public 2 Year,"4,394","13,899,762"
102300,JUDSON COLLEGE,MARION,AL,Private 4 Year,180,"725,831"
105900,LAWSON STATE COMMUNITY COLLEGE,BIRMINGHAM,AL,Public 2 Year,"3,759","13,227,881"
105901,LAWSON STATE COMMUNITY COLLEGE - BESSEME,BESSEMER,AL,Public 2 Year,63,"210,658"
898800,LURLEEN B WALLACE COMMUNITY COLLEGE,ANDALUSIA,AL,Public 2 Year,"1,317","4,738,685"
102600,MARION MILITARY INSTITUTE,MARION,AL,Public 2 Year,191,"802,587"
102800,MILES COLLEGE,FAIRFIELD,AL,Private 4 Year,"1,568","6,904,979"
4187200,NEW BEGINNING COLLEGE OF COSMETOLOGY,ALBERTVILLE,AL,Proprietary 2 Year,66,"238,338"
103100,NORTHEAST ALABAMA STATE CMNTY COLG,RAINSVILLE,AL,Public 2 Year,"2,647","9,374,294"
569700,NORTHWEST- SHOALS COMMUNITY COLLEGE,MUSCLE SHOALS,AL,Public 2 Year,"2,089","7,077,196"
569702,NORTHWEST-SHOALS C.C.-PHIL CAMPBELL,PHIL CAMPBELL,AL,Public 2 Year,590,"2,097,294"
103300,OAKWOOD COLLEGE,HUNTSVILLE,AL,Private 4 Year,"1,065","4,404,345"
2285000,PAUL MITCHELL THE SCHOOL HUNTSVILLE,MADISON,AL,Proprietary 2 Year,95,"359,794"
2296000,PRINCE INSTITUTE OF PROFESSIONAL STUDIES,MONTGOMERY,AL,Proprietary 2 Year,117,"407,935"
