OPEID,NAME,CITY,STATE,Insttype,Recips,Awards
124900,OCCIDENTAL COLLEGE,LOS ANGELES,CA,Private 4 Year,487,"2,017,923"
1298900,OCEANSIDE COLLEGE OF BEAUTY,OCEANSIDE,CA,Proprietary 2 Year,78,"297,399"
448100,OHLONE COLLEGE,FREMONT,CA,Public 2 Year,"1,896","6,470,902"
125000,ORANGE COAST COLLEGE - FIN AID OFF,COSTA MESA,CA,Public 2 Year,"5,336","19,760,620"
125100,OTIS COLLEGE OF ART AND DESIGN,LOS ANGELES,CA,Private 4 Year,566,"2,620,383"
1284200,OXNARD COLLEGE,OXNARD,CA,Public 2 Year,"3,484","10,954,136"
3901300,PACIFIC COAST TRADE SCHOOL,OXNARD,CA,Proprietary 2 Year,269,"893,485"
3299300,PACIFIC COLLEGE,COSTA MESA,CA,Proprietary 4 Year,237,"907,955"
3027700,PACIFIC COLLEGE OF ORIENTAL MED,SAN DIEGO,CA,Proprietary 4 Year,327,"1,133,603"
125500,PACIFIC OAKS COLLEGE,PASADENA,CA,Private 4 Year,170,"491,545"
3163300,PACIFIC STATES UNIVERSITY,LOS ANGELES,CA,Private 4 Year,4,"10,963"
125800,PACIFIC UNION COLLEGE,ANGWIN,CA,Private 4 Year,651,"2,662,924"
4001300,PALACE BEAUTY COLLEGE,LOS ANGELES,CA,Proprietary 2 Year,188,"657,354"
4014400,PALLADIUM TECHNICAL ACADEMY,EL MONTE,CA,Proprietary 2 Year,95,"424,756"
2138300,PALO ALTO UNIVERSITY,PALO ALTO,CA,Private 4 Year,68,"301,776"
125900,PALO VERDE COLLEGE,BLYTHE,CA,Public 2 Year,401,"1,459,325"
126000,PALOMAR COLLEGE,SAN MARCOS,CA,Public 2 Year,"4,446","14,070,895"
2537200,PALOMAR INSTITUTE OF COSMETOLOGY,SAN MARCOS,CA,Proprietary 2 Year,152,"508,484"
2059800,PARIS BEAUTY COLLEGE,CONCORD,CA,Proprietary 2 Year,79,"278,552"
126100,PASADENA CITY COLLEGE,PASADENA,CA,Public 2 Year,"8,075","28,279,600"
449000,PATTEN UNIVERSITY,OAKLAND,CA,Private 4 Year,205,"744,429"
4175200,PAUL MITCHELL THE SCHOOL EAST BAY,PLEASANT HILL,CA,Proprietary 2 Year,216,"748,577"
4165900,PAUL MITCHELL THE SCHOOL FRESNO,FRESNO,CA,Proprietary 2 Year,248,"962,348"
4158200,PAUL MITCHELL THE SCHOOL SHERMAN OAKS,SHERMAN OAKS,CA,Proprietary 2 Year,223,"822,989"
1014900,PEPPERDINE UNIVERSITY,MALIBU,CA,Private 4 Year,895,"3,665,673"
2608900,PINNACLE COLLEGE,ALHAMBRA,CA,Proprietary 2 Year,221,"806,176"
117200,PITZER COLLEGE,CLAREMONT,CA,Private 4 Year,194,"778,909"
3062700,PLATT COLLEGE,LOS ANGELES,CA,Proprietary 4 Year,"1,037","3,950,893"
2304300,"PLATT COLLEGE, SAN DIEGO",SAN DIEGO,CA,Proprietary 4 Year,282,"1,179,006"
126200,POINT LOMA NAZARENE UNIVERSITY,SAN DIEGO,CA,Private 4 Year,673,"2,781,142"
3029600,POMONA ADULT SCHOOL,POMONA,CA,Public 2 Year,176,"482,371"
117300,POMONA COLLEGE,CLAREMONT,CA,Private 4 Year,269,"1,153,003"
126800,PORTERVILLE COLLEGE,PORTERVILLE,CA,Public 2 Year,"2,650","9,117,191"
1162600,PRACTICAL SCHOOLS,ANAHEIM,CA,Proprietary 4 Year,"1,984","7,852,845"
4161300,PREFERRED COLLEGE OF NURSING,VAN NUYS,CA,Proprietary 2 Year,80,"278,330"
4150500,"PREFERRED COLLEGE OF NURSING, LOS ANGELE",LOS ANGELES,CA,Proprietary 2 Year,110,"417,775"
3125800,PREMIERE CAREER COLLEGE,IRWINDALE,CA,Proprietary 2 Year,510,"1,973,911"
3479300,PROFESSIONAL CAREER INSTITUTE,CERRITOS,CA,Proprietary 2 Year,111,"372,063"
3367300,PROFESSIONAL GOLFERS CAREER COLLEGE,TEMECULA,CA,Proprietary 2 Year,197,"723,481"
1298400,PROFESSIONAL INSTITUTE OF BEAUTY,EL MONTE,CA,Proprietary 2 Year,174,"659,161"
4023400,PROTEUS,VISALIA,CA,Private 2 Year,10,"35,331"
4153900,PROVIDENCE CHRISTIAN COLLEGE,PASADENA,CA,Private 4 Year,31,"118,905"
4177200,REAL BARBERS COLLEGE (THE),ANAHEIM,CA,Proprietary 2 Year,134,"535,598"
130800,REEDLEY COLLEGE,REEDLEY,CA,Public 2 Year,"5,547","18,544,997"
126900,RIO HONDO COLLEGE,WHITTIER,CA,Public 2 Year,"5,989","18,724,368"
127000,RIVERSIDE CITY COLLEGE,RIVERSIDE,CA,Public 2 Year,"7,494","20,505,242"
1294200,ROSEMEAD BEAUTY SCHOOL,ROSEMEAD,CA,Proprietary 2 Year,381,"1,372,279"
3054100,ROYALE COLLEGE OF BEAUTY,TEMECULA,CA,Proprietary 2 Year,76,"260,535"
4150300,RWM FIBER OPTICS,CARSON,CA,Proprietary 2 Year,86,"340,715"
4162800,S.I.C.E PAUL MITCHELL PARTNER SCHOOL,MODESTO,CA,Proprietary 2 Year,319,"1,268,958"
123300,SACRAMENTO CITY COLLEGE,SACRAMENTO,CA,Public 2 Year,"7,938","24,963,851"
891800,SADDLEBACK COLLEGE,MISSION VIEJO,CA,Public 2 Year,"3,213","11,710,647"
4205800,"SAE INSTITUTE OF TECHNOLOGY, LOS ANGELES",LOS ANGELES,CA,Proprietary 2 Year,13,"43,325"
3069500,SAGE COLLEGE,MORENO VALLEY,CA,Proprietary 2 Year,463,"1,447,221"
130200,SAINT MARY'S COLLEGE OF CALIFORNIA,MORAGA,CA,Private 4 Year,979,"3,993,230"
4185200,SALINAS BEAUTY COLLEGE,SALINAS,CA,Proprietary 2 Year,45,"188,398"
720300,SALON SUCCESS ACADEMY,UPLAND,CA,Proprietary 2 Year,224,"826,077"
1309500,SALON SUCCESS ACADEMY,CORONA,CA,Proprietary 2 Year,338,"1,260,537"
2211000,SALON SUCCESS ACADEMY,SAN BERNARDINO,CA,Proprietary 2 Year,41,"164,383"
701200,SAMUEL MERRITT COLLEGE,OAKLAND,CA,Private 4 Year,157,"629,775"
127200,SAN BERNARDINO VALLEY COLLEGE,SAN BERNARDINO,CA,Public 2 Year,"5,793","18,519,607"
1203100,SAN DIEGO CHRISTIAN COLLEGE,EL CAJON,CA,Private 4 Year,445,"1,562,267"
127300,SAN DIEGO CITY COLLEGE,SAN DIEGO,CA,Public 2 Year,"7,291","24,354,032"
2241600,SAN DIEGO CONTINUING EDUCATION,SAN DIEGO,CA,Public 2 Year,167,"432,890"
4145000,SAN DIEGO CULINARY INSTITUTE,SAN DIEGO,CA,Proprietary 2 Year,88,"277,833"
127500,SAN DIEGO MESA COLLEGE,SAN DIEGO,CA,Public 2 Year,"5,107","17,929,332"
1182000,SAN DIEGO MIRAMAR COLLEGE,SAN DIEGO,CA,Public 2 Year,"2,663","8,814,959"
115100,SAN DIEGO STATE UNIVERSITY,SAN DIEGO,CA,Public 4 Year,"10,560","44,653,158"
394800,SAN FRANCISCO ART INSTITUTE,SAN FRANCISCO,CA,Private 4 Year,162,"643,828"
127800,SAN FRANCISCO CONSERVATORY OF MUSIC,SAN FRANCISCO,CA,Private 4 Year,57,"272,030"
4141300,SAN FRANCISCO INSTITUTE OF ESTHETICS,SAN FRANCISCO,CA,Proprietary 2 Year,135,"485,710"
115400,SAN FRANCISCO STATE UNIVERSITY,SAN FRANCISCO,CA,Public 4 Year,"11,439","46,543,301"
128000,SAN JOAQUIN DELTA COLLEGE,STOCKTON,CA,Public 2 Year,"8,947","30,203,284"
2120700,SAN JOAQUIN VALLEY COLLEGE,VISALIA,CA,Proprietary 2 Year,"7,404","29,368,634"
128200,SAN JOSE CITY COLLEGE,SAN JOSE,CA,Public 2 Year,"2,981","10,122,306"
115500,SAN JOSE STATE UNIVERSITY,SAN JOSE,CA,Public 4 Year,"10,407","42,370,502"
4173400,SANTA ANA BEAUTY ACADEMY,SANTA ANA,CA,Proprietary 2 Year,36,"111,666"
128400,SANTA ANA COLLEGE,SANTA ANA,CA,Public 2 Year,"4,150","13,509,323"
998900,SANTA BARBARA BUSINESS COLLEGE,SANTA BARBARA,CA,Proprietary 4 Year,456,"1,667,310"
2577900,SANTA BARBARA BUSINESS COLLEGE,BAKERSFIELD,CA,Proprietary 4 Year,953,"3,588,887"
2578000,SANTA BARBARA BUSINESS COLLEGE,SANTA MARIA,CA,Proprietary 4 Year,354,"1,282,252"
128500,SANTA BARBARA CITY COLLEGE,SANTA BARBARA,CA,Public 2 Year,"5,014","16,192,703"
132600,SANTA CLARA UNIVERSITY,SANTA CLARA,CA,Private 4 Year,850,"3,450,665"
128600,SANTA MONICA COLLEGE,SANTA MONICA,CA,Public 2 Year,"8,458","28,677,939"
128700,SANTA ROSA JUNIOR COLLEGE,SANTA ROSA,CA,Public 2 Year,"4,848","16,493,329"
3695700,SANTIAGO CANYON COLLEGE,ORANGE,CA,Public 2 Year,"1,651","5,158,830"
117400,SCRIPPS COLLEGE,CLAREMONT,CA,Private 4 Year,115,"502,897"
2359300,SHASTA BIBLE COLLEGE,REDDING,CA,Private 4 Year,45,"177,727"
128900,SHASTA COLLEGE,REDDING,CA,Public 2 Year,"3,863","12,881,264"
4161700,SHASTA SCHOOL OF COSMETOLOGY,REDDING,CA,Proprietary 2 Year,84,"345,833"
129000,SIERRA COLLEGE,ROCKLIN,CA,Public 2 Year,"7,297","24,627,905"
2064300,SIERRA COLLEGE OF BEAUTY,MERCED,CA,Proprietary 2 Year,162,"612,000"
2188400,SIERRA VALLEY COLLEGE OF COURT REPORTING,FRESNO,CA,Proprietary 2 Year,159,"637,263"
129100,SIMPSON UNIVERSITY,REDDING,CA,Private 4 Year,723,"2,749,273"
950900,SKILLS & BUSINESS EDUCATION CENTER,SACRAMENTO,CA,Public 2 Year,531,"2,141,628"
771300,SKYLINE COLLEGE,SAN BRUNO,CA,Public 2 Year,"2,613","8,690,467"
122900,SO CA UNIV  HEALTH SCIENCES,WHITTIER,CA,Private 4 Year,16,"47,136"
3814400,SOKA UNIVERSITY OF AMERICA,ALISO VIEJO,CA,Private 4 Year,134,"559,460"
129200,SOLANO COMMUNITY COLLEGE,FAIRFIELD,CA,Public 2 Year,"3,465","10,359,717"
115600,SONOMA STATE UNIVERSITY,ROHNERT PARK,CA,Public 4 Year,"2,579","10,378,004"
2597300,SOUTH BAYLO UNIVERSITY,ANAHEIM,CA,Private 4 Year,55,"225,459"
2277400,SOUTH COAST COLLEGE,ORANGE,CA,Proprietary 2 Year,340,"1,332,872"
3332300,SOUTHERN CA BIBLE CLG & SEMINARY,EL CAJON,CA,Private 4 Year,39,"111,912"
2075800,SOUTHERN CA INST OF ARCHITECTURE,LOS ANGELES,CA,Private 4 Year,131,"619,068"
3113600,SOUTHERN CALIFORNIA INST OF TECHNOL,ANAHEIM,CA,Proprietary 4 Year,716,"2,747,964"
4172000,SOUTHERN CALIFORNIA UNIVERSITY SOMA,LOS ANGELES,CA,Proprietary 4 Year,3,"9,300"
129400,SOUTHWESTERN COLLEGE,CHULA VISTA,CA,Public 2 Year,"5,512","20,165,736"
3359300,ST. FRANCIS CAREER COLLEGE,LYNWOOD,CA,Private 2 Year,130,"478,282"
3889300,STANBRIDGE COLLEGE,IRVINE,CA,Proprietary 4 Year,595,"1,875,294"
130500,STANFORD UNIVERSITY,STANFORD,CA,Private 4 Year,"1,246","5,144,532"
3108100,SUMMIT CAREER COLLEGE,COLTON,CA,Proprietary 2 Year,"1,472","6,350,127"
130900,TAFT COLLEGE,TAFT,CA,Public 2 Year,997,"3,334,270"
4057300,TECHSKILLS OF CALIFORNIA,SACRAMENTO,CA,Proprietary 2 Year,508,"1,453,466"
2236400,"THANH LE COLG, SCH OF COSMETOLOGY",GARDEN GROVE,CA,Proprietary 2 Year,71,"272,393"
2518400,THE NATIONAL HISPANIC UNIVERSITY,SAN JOSE,CA,Proprietary 4 Year,401,"1,334,035"
2358000,THOMAS AQUINAS COLLEGE,SANTA PAULA,CA,Private 4 Year,125,"504,533"
4004300,THUY PRINCESS BEAUTY COLLEGE,POMONA,CA,Proprietary 2 Year,111,"447,985"
4142500,TOURO COLLEGE LOS ANGELES,WEST HOLLYWOOD,CA,Private 4 Year,34,"157,003"
4142600,TOURO UNIVERSITY,VALLEJO,CA,Private 4 Year,28,"122,241"
4169200,TRAMY BEAUTY SCHOOL,SAN DIEGO,CA,Proprietary 2 Year,237,"817,401"
2497300,TRINITY COLLEGE,VISALIA,CA,Proprietary 2 Year,820,"3,155,826"
4160100,TRINITY VOCATIONAL CENTER,GARDENA,CA,Proprietary 2 Year,115,"410,263"
4127900,TUI UNIVERSITY,CYPRESS,CA,Proprietary 4 Year,915,"3,328,160"
1231700,TULARE BEAUTY COLLEGE,TULARE,CA,Proprietary 2 Year,62,"240,410"
4176200,TWIN RIVERS ADULT SCHOOL,NORTH HIGHLANDS,CA,Public 2 Year,572,"2,170,567"
3113300,UEI COLLEGE,FRESNO,CA,Proprietary 2 Year,"1,032","4,024,294"
2559300,UNITED EDUCATION INSTITUTE,LOS ANGELES,CA,Proprietary 2 Year,"9,579","37,246,980"
4169700,UNITEK COLLEGE,FREMONT,CA,Proprietary 4 Year,362,"1,296,299"
1244600,UNIVERSAL COLLEGE OF BEAUTY,LOS ANGELES,CA,Proprietary 2 Year,102,"416,806"
3427500,UNIVERSITY OF ANTELOPE VALLEY,LANCASTER,CA,Proprietary 4 Year,924,"3,554,199"
131500,UNIVERSITY OF CALIFORNIA (UCLA),LOS ANGELES,CA,Public 4 Year,"10,283","44,051,889"
4127100,"UNIVERSITY OF CALIFORNIA, MERCED",MERCED,CA,Public 4 Year,"2,916","13,062,967"
131200,UNIVERSITY OF CALIFORNIA-BERKELEY,BERKELEY,CA,Public 4 Year,"9,487","39,803,633"
131300,UNIVERSITY OF CALIFORNIA-DAVIS,DAVIS,CA,Public 4 Year,"10,840","47,194,297"
131400,UNIVERSITY OF CALIFORNIA-IRVINE,IRVINE,CA,Public 4 Year,"9,082","39,736,883"
131600,UNIVERSITY OF CALIFORNIA-RIVERSIDE,RIVERSIDE,CA,Public 4 Year,"10,882","47,051,186"
131700,UNIVERSITY OF CALIFORNIA-SAN DIEGO,LA JOLLA,CA,Public 4 Year,"10,803","48,136,154"
132000,UNIVERSITY OF CALIFORNIA-SANTA BARB,SANTA BARBARA,CA,Public 4 Year,"7,149","30,884,303"
132100,UNIVERSITY OF CALIFORNIA-SANTA CRUZ,SANTA CRUZ,CA,Public 4 Year,"6,589","28,235,848"
3995300,UNIVERSITY OF EAST-WEST MEDICINE,SUNNYVALE,CA,Proprietary 4 Year,8,"38,275"
121600,UNIVERSITY OF LA VERNE,LA VERNE,CA,Private 4 Year,"2,440","8,619,582"
132200,UNIVERSITY OF REDLANDS,REDLANDS,CA,Private 4 Year,"1,156","4,220,592"
1039500,UNIVERSITY OF SAN DIEGO,SAN DIEGO,CA,Private 4 Year,958,"3,643,088"
132500,UNIVERSITY OF SAN FRANCISCO,SAN FRANCISCO,CA,Private 4 Year,"1,705","6,831,136"
132800,UNIVERSITY OF SOUTHERN CALIFORNIA,LOS ANGELES,CA,Private 4 Year,"4,170","17,489,566"
132900,UNIVERSITY OF THE PACIFIC,STOCKTON,CA,Private 4 Year,"1,690","7,250,205"
3696300,UNIVERSITY OF THE WEST,ROSEMEAD,CA,Private 4 Year,15,"39,233"
3441400,VALLEY CAREER COLLEGE,EL CAJON,CA,Proprietary 2 Year,250,"878,050"
4114500,VALLEY COLLEGE OF MEDICAL CAREERS,WEST HILLS,CA,Proprietary 2 Year,107,"353,537"
129300,VANGUARD UNIVERSITY OF SOUTHERN CA,COSTA MESA,CA,Private 4 Year,870,"3,285,382"
3084700,VENTURA ADULT\CONTINUING EDUCATION,VENTURA,CA,Public 2 Year,148,"478,431"
133400,VENTURA COLLEGE,VENTURA,CA,Public 2 Year,"4,875","16,129,411"
2128200,"VICTOR VALLEY BEAUTY COLLEGE, INC",VICTORVILLE,CA,Proprietary 2 Year,146,"522,022"
133500,VICTOR VALLEY COLLEGE,VICTORVILLE,CA,Public 2 Year,"6,864","23,363,794"
4116000,VIDEO SYMPHONY ENTERTRAINING,BURBANK,CA,Proprietary 2 Year,317,"1,318,380"
3150500,VIRGINIA SEWING MACHINES & SCH CTR,LOS ANGELES,CA,Proprietary 2 Year,59,"203,439"
2061600,WAYNES COLLEGE OF BEAUTY,SALINAS,CA,Proprietary 2 Year,9,"22,708"
3639300,WEST COAST ULTRASOUND INSTITUTE,BEVERLY HILLS,CA,Proprietary 2 Year,917,"3,321,803"
3698300,WEST COAST UNIVERSITY,LOS ANGELES,CA,Proprietary 4 Year,"1,973","7,715,677"
4111300,WEST HILLS COLLEGE LEMOORE,LEMOORE,CA,Public 2 Year,"2,254","6,901,998"
117600,WEST HILLS COMMUNITY COLLEGE,COALINGA,CA,Public 2 Year,"1,268","4,470,228"
859600,WEST LOS ANGELES COLLEGE,CULVER CITY,CA,Public 2 Year,"3,997","12,635,887"
133800,WEST VALLEY COLLEGE,SARATOGA,CA,Public 2 Year,"2,087","6,804,346"
3062300,WESTECH COLLEGE,ONTARIO,CA,Proprietary 2 Year,849,"3,165,103"
722900,WESTERN BEAUTY INSTITUTE,PANORAMA CITY,CA,Proprietary 2 Year,896,"3,264,266"
4088300,WESTMED COLLEGE,SAN JOSE,CA,Private 2 Year,145,"491,497"
134100,WESTMONT COLLEGE,SANTA BARBARA,CA,Private 4 Year,293,"1,185,022"
3072700,WESTWOOD COLLEGE - LOS ANGELES,LOS ANGELES,CA,Proprietary 4 Year,"5,761","20,774,384"
134200,WHITTIER COLLEGE,WHITTIER,CA,Private 4 Year,635,"2,698,619"
128100,WILLIAM JESSUP UNIVERSITY,ROCKLIN,CA,Private 4 Year,462,"1,820,283"
134300,WOODBURY UNIVERSITY,BURBANK,CA,Private 4 Year,729,"3,254,392"
4143800,WOODLAND COMMUNITY COLLEGE,WOODLAND,CA,Public 2 Year,"1,230","3,668,627"
3868300,WORLD MISSION UNIVERSITY,LOS ANGELES,CA,Private 4 Year,67,"233,612"
719000,WYOTECH,FREMONT,CA,Proprietary 2 Year,"1,563","5,316,735"
1287300,WYOTECH,LONG BEACH,CA,Proprietary 2 Year,"3,584","11,960,776"
2262400,YESHIVA OHR ELCHONON CHABAD,LOS ANGELES,CA,Private 4 Year,92,"455,400"
134400,YUBA COLLEGE,MARYSVILLE,CA,Public 2 Year,"4,073","12,476,797"
4093300,ACADEMY OF NATURAL THERAPY,GREELEY,CO,Proprietary 2 Year,62,"185,539"
134500,ADAMS STATE COLLEGE,ALAMOSA,CO,Public 4 Year,"1,572","6,143,799"
758200,AIMS COMMUNITY COLLEGE,GREELEY,CO,Public 2 Year,"2,687","9,125,865"
4127700,AMERICAN SENTINEL UNIVERSITY,AURORA,CO,Proprietary 4 Year,190,"520,529"
134600,ARAPAHOE COMMUNITY COLLEGE,LITTLETON,CO,Public 2 Year,"3,582","10,430,965"
2078900,ART INSTITUTE OF COLORADO (THE),DENVER,CO,Proprietary 4 Year,"1,516","4,551,266"
4080300,ASPEN UNIVERSITY,DENVER,CO,Proprietary 4 Year,51,"149,759"
4167100,AVEDA INSTITUTE DENVER,DENVER,CO,Proprietary 2 Year,286,"1,202,274"
1267000,BEL-REA INST OF ANIMAL TECH,DENVER,CO,Proprietary 2 Year,533,"1,956,939"
3013100,BOULDER COLLEGE OF MASSAGE THERAPY,BOULDER,CO,Private 2 Year,65,"201,723"
2594300,COLLEGE AMERICA - DENVER,DENVER,CO,Proprietary 4 Year,"1,823","6,735,387"
4184900,COLLEGE OF INTERNATIONAL ESTHETICS,ARVADA,CO,Proprietary 2 Year,57,"137,945"
4185000,COLORADO ACADEMY OF VETERINARY TECHNOLOG,COLORADO SPRINGS,CO,Proprietary 2 Year,15,"47,153"
940100,COLORADO CHRISTIAN UNIVERSITY,LAKEWOOD,CO,Private 4 Year,"1,497","4,847,776"
134700,COLORADO COLLEGE,COLORADO SPRINGS,CO,Private 4 Year,215,"856,186"
3289300,COLORADO HEIGHTS UNIVERSITY,DENVER,CO,Private 4 Year,202,"556,896"
135800,COLORADO MESA UNIVERSITY,GRAND JUNCTION,CO,Public 4 Year,"4,172","15,582,589"
450600,COLORADO MOUNTAIN COLLEGE,GLENWOOD SPRINGS,CO,Public 4 Year,"1,203","4,258,254"
135900,COLORADO NORTHWESTERN COMMUNITY COLLEGE,RANGELY,CO,Public 2 Year,328,"1,146,998"
3584400,COLORADO SCHOOL OF HEALING ARTS,LAKEWOOD,CO,Proprietary 2 Year,124,"405,512"
134800,COLORADO SCHOOL OF MINES,GOLDEN,CO,Public 4 Year,770,"2,946,617"
1157200,COLORADO SCHOOL OF TRADES,LAKEWOOD,CO,Proprietary 2 Year,127,"454,296"
135000,COLORADO STATE UNIVERSITY,FORT COLLINS,CO,Public 4 Year,"5,786","22,162,825"
136500,COLORADO STATE UNIVERSITY-PUEBLO,PUEBLO,CO,Public 4 Year,"3,613","13,294,970"
1014800,COLORADO TECHNICAL UNIVERSITY,COLORADO SPRINGS,CO,Proprietary 4 Year,"27,214","87,899,591"
2276900,COMMUNITY COLLEGE OF AURORA,AURORA,CO,Public 2 Year,"4,184","11,952,072"
954200,COMMUNITY COLLEGE OF DENVER,DENVER,CO,Public 2 Year,"7,934","22,750,864"
887100,CONCORDE CAREER INSTITUTE,DENVER,CO,Proprietary 2 Year,"1,058","3,787,436"
3776300,CULINARY SCHOOL OF THE ROCKIES,BOULDER,CO,Proprietary 2 Year,73,"182,780"
3972300,CUTTIN' UP BEAUTY ACADEMY,DENVER,CO,Proprietary 2 Year,20,"56,184"
2156200,DELTA - MONTROSE TECHNICAL COLLEGE,DELTA,CO,Public 2 Year,116,"393,100"
2188700,DENVER ACAD OF COURT REPORTING,WESTMINSTER,CO,Proprietary 2 Year,97,"356,553"
4148300,DENVER SCHOOL OF NURSING,DENVER,CO,Proprietary 4 Year,208,"661,241"
559600,EMILY GRIFFITH OPPORTUNITY SCH,DENVER,CO,Public 2 Year,520,"1,516,347"
2072200,EMPIRE BEAUTY SCHOOL -ARVADA,DENVER,CO,Proprietary 2 Year,80,"306,732"
2160600,EMPIRE BEAUTY SCHOOL -THORNTON,THORNTON,CO,Proprietary 2 Year,145,"552,581"
1070900,EMPIRE BEAUTY SCHOOL-LAKEWOOD,LAKEWOOD,CO,Proprietary 2 Year,89,"367,538"
2141100,EMPIRE BEAUTY SCHOOL-LITTLETON,WESTMINSTER,CO,Proprietary 2 Year,233,"896,625"
450300,EVEREST COLLEGE,COLORADO SPRINGS,CO,Proprietary 2 Year,"2,201","7,117,505"
450700,EVEREST COLLEGE,THORNTON,CO,Proprietary 2 Year,"1,424","4,580,737"
135300,FORT LEWIS COLLEGE,DURANGO,CO,Public 4 Year,"1,404","5,592,612"
793300,FRONT RANGE COMMUNITY COLLEGE,WESTMINSTER,CO,Public 2 Year,"9,417","27,856,593"
2267500,GLENWOOD BEAUTY ACADEMY,GLENWOOD SPRINGS,CO,Proprietary 2 Year,48,"171,486"
2518500,HAIR DYNAMICS EDUCATION CENTER,FORT COLLINS,CO,Proprietary 2 Year,158,"580,431"
2611000,HERITAGE COLLEGE,DENVER,CO,Proprietary 2 Year,"2,663","9,270,511"
3006300,INST OF BUSINESS & MEDICAL CAREERS,FORT COLLINS,CO,Proprietary 2 Year,"1,237","4,158,072"
2253700,INTELLITEC COLLEGE,COLORADO SPRINGS,CO,Proprietary 2 Year,657,"2,593,091"
3066900,INTELLITEC COLLEGE,GRAND JUNCTION,CO,Proprietary 2 Year,833,"3,217,701"
863500,INTELLITEC MEDICAL INSTITUTE,COLORADO SPRINGS,CO,Proprietary 2 Year,450,"1,713,642"
1285000,INTERNATIONAL SALON AND SPA ACADEMY,COLORADO SPRINGS,CO,Proprietary 2 Year,262,"820,339"
732912,ITT TECHNICAL INSTITUTE,THORNTON,CO,Proprietary 4 Year,"1,749","5,969,867"
3534300,JONES INTERNATIONAL UNIVERSITY,CENTENNIAL,CO,Proprietary 4 Year,"2,511","7,876,193"
2167600,KAPLAN COLLEGE,THORNTON,CO,Proprietary 2 Year,131,"496,129"
135500,LAMAR COMMUNITY COLLEGE,LAMAR,CO,Public 2 Year,414,"1,514,116"
754700,LINCOLN COLLEGE OF TECHNOLOGY,DENVER,CO,Proprietary 2 Year,"1,231","4,387,814"
3976300,MASSAGE THERAPY INSTITUTE OF COLORADO,DENVER,CO,Proprietary 2 Year,45,"128,723"
136000,METROPOLITAN STATE CLG OF DENVER,DENVER,CO,Public 4 Year,"10,741","36,721,788"
4125100,MONTESSORI CASA INTERNATIONAL,GREENWOOD VILLAGE,CO,Private 2 Year,3,"15,050"
3306300,MONTESSORI EDUC CRT OF THE ROCKIES,BOULDER,CO,Private 2 Year,6,"33,300"
998100,MORGAN COMMUNITY COLLEGE,FORT MORGAN,CO,Public 2 Year,818,"2,536,554"
2117500,NAROPA UNIVERSITY,BOULDER,CO,Private 4 Year,235,"939,187"
4139300,NATIONAL BEAUTY COLLEGE,DENVER,CO,Proprietary 2 Year,87,"368,206"
4185400,NATIONAL PERSONAL TRAINING INSTITUTE OF,LAKEWOOD,CO,Proprietary 2 Year,53,"124,530"
1300700,NAZARENE BIBLE COLLEGE,COLORADO SPRINGS,CO,Private 4 Year,387,"1,115,175"
4202600,NEW DIMENSIONS BEAUTY ACADEMY,PARKER,CO,Proprietary 2 Year,17,"61,883"
136100,NORTHEASTERN JUNIOR COLLEGE,STERLING,CO,Public 2 Year,789,"2,891,992"
136200,OTERO JUNIOR COLLEGE,LA JUNTA,CO,Public 2 Year,954,"3,240,903"
4170200,PAUL MITCHELL THE SCHOOL COLORADO SPRING,COLORADO SPRINGS,CO,Proprietary 2 Year,243,"935,788"
1287500,PICKENS TECHNICAL COLLEGE,AURORA,CO,Public 2 Year,364,"1,186,160"
889600,PIKES PEAK COMMUNITY COLLEGE,COLORADO SPRINGS,CO,Public 2 Year,"8,798","26,666,089"
4177100,PIMA MEDICAL INSTITUTE-SOUTH DENVER,DENVER,CO,Proprietary 2 Year,3,"11,838"
3014900,PLATT COLLEGE,AURORA,CO,Proprietary 4 Year,124,"496,838"
2116300,PUEBLO COMMUNITY COLLEGE,PUEBLO,CO,Public 2 Year,"5,042","16,642,186"
954300,RED ROCKS COMMUNITY COLLEGE,LAKEWOOD,CO,Public 2 Year,"3,979","11,794,473"
729700,REDSTONE COLLEGE,BROOMFIELD,CO,Proprietary 2 Year,840,"3,098,716"
136300,REGIS UNIVERSITY,DENVER,CO,Private 4 Year,"1,754","5,671,101"
3012100,REMINGTON COLLEGE - COLORADO SPRINGS CAM,LAKEWOOD,CO,Private 4 Year,162,"599,651"
764900,ROCKY MOUNTAIN COLG OF ART & DESIGN,DENVER,CO,Proprietary 4 Year,301,"1,065,788"
4172500,ROLF INSTITUTE OF STRUCTURAL INTEGRATION,BOULDER,CO,Private 2 Year,9,"29,096"
2165200,SALON PROFESSIONAL ACADEMY (THE),GRAND JUNCTION,CO,Proprietary 2 Year,70,"285,689"
4173800,SALON PROFESSIONAL ACADEMY (THE),COLORADO SPRINGS,CO,Proprietary 2 Year,74,"276,579"
1073200,SAN JUAN BASIN TECHNICAL COLLEGE,MANCOS,CO,Public 2 Year,1,"1,225"
4151100,SUMMIT SALON & BEAUTY SCHOOL,WOODLAND PARK,CO,Proprietary 2 Year,22,"98,400"
3670300,TONI & GUY HAIRDRESSING ACADEMY,COLORADO SPRINGS,CO,Proprietary 2 Year,144,"532,352"
136800,TRINIDAD STATE JR COLLEGE,TRINIDAD,CO,Public 2 Year,"1,220","4,457,286"
