OPEID,Name,State,Type & Control,Recips,Awards
1078,PHOENIX COLLEGE,AZ,Public 2 Year,"4,709","13,960,508"
7266,PIMA COUNTY COMMUNITY COLLEGE,AZ,Public 2 Year,"12,200","39,200,531"
22171,PIMA MEDICAL INSTITUTE,AZ,Proprietary 2 Year,"7,545","28,311,414"
20653,PRESCOTT COLLEGE,AZ,Private 4 Year,381,"1,241,375"
21775,RIO SALADO COMMUNITY COLLEGE,AZ,Public 2 Year,"7,727","18,189,452"
21138,ROBERTO-VENN SCHOOL OF LUTHIERY,AZ,Proprietary 2 Year,26,"85,264"
30050,SAFFORD COLLEGE OF BEAUTY CULTURE,AZ,Proprietary 2 Year,70,"398,519"
8304,SCOTTSDALE COMMUNITY COLLEGE,AZ,Public 2 Year,"2,115","6,557,956"
21466,SOUTH MOUNTAIN COMMUNITY COLLEGE,AZ,Public 2 Year,"2,335","7,440,063"
35933,SOUTHWEST INSTITUTE OF HEALING ARTS,AZ,Proprietary 2 Year,233,"804,216"
7113,SOUTHWESTERN COLLEGE,AZ,Private 4 Year,166,"542,020"
41529,STUDIO ACADEMY OF BEAUTY (THE),AZ,Proprietary 2 Year,90,"373,554"
11689,THE REFRIGERATION SCHOOL,AZ,Proprietary 2 Year,527,"1,996,909"
37844,TOHONO O'ODHAM COMMUNITY COLLEGE,AZ,Public 2 Year,62,"187,763"
25619,TONI AND GUY HAIRDRESSING ACADEMY,AZ,Proprietary 2 Year,170,"720,401"
4467,TUCSON COLLEGE,AZ,Proprietary 2 Year,677,"2,250,243"
40593,TUCSON COLLEGE OF BEAUTY,AZ,Proprietary 2 Year,81,"350,454"
38143,TURNING POINT BEAUTY COLLEGE,AZ,Proprietary 2 Year,73,"288,756"
41392,UNIVERSAL BARBER COLLEGE,AZ,Proprietary 2 Year,34,"142,464"
21005,UNIVERSAL TECHNICAL INSTITUTE,AZ,Proprietary 2 Year,"7,194","33,999,978"
8221,UNIVERSAL TECHNICAL INSTITUTE,AZ,Proprietary 2 Year,"7,599","34,442,227"
25590,UNIVERSITY OF ADVANCING COMPUTER TECHNOLOGY,AZ,Proprietary 4 Year,481,"1,898,810"
1083,UNIVERSITY OF ARIZONA (THE),AZ,Public 4 Year,"8,744","35,729,739"
20988,UNIVERSITY OF PHOENIX,AZ,Proprietary 4 Year,"304,583","1,042,372,700"
21715,WESTERN INTERNATIONAL UNIVERSITY,AZ,Proprietary 4 Year,"1,016","2,750,796"
1079,YAVAPAI COLLEGE,AZ,Public 2 Year,"2,320","6,880,694"
31505,A - TECHNICAL COLLEGE,CA,Proprietary 2 Year,84,"333,170"
7531,ACADEMY OF ART UNIVERSITY,CA,Proprietary 4 Year,"5,383","15,486,441"
41093,ACADEMY OF BARBERING ARTS (THE),CA,Proprietary 2 Year,199,"831,673"
