PELLID,OPEID,GAPSID,Name,State,Type & Control,Recipients,Awards,,,,,,,
34593,3459300,5008,SOUTHEASTERN SCHOOL OF COSMETOLOGY,AL,Private 2 Year,150,"568,906",,,,,,,
1040,104000,1051,SOUTHERN UNION STATE COMMUNITY COLLEGE,AL,Public 2 year,"1,965","5,958,855",,,,,,,
1041,104100,1052,SPRING HILL COLLEGE,AL,Private 4 Year,374,"1,242,818",,,,,,,
1044,104400,1053,STILLMAN COLLEGE,AL,Private 4 Year,823,"2,957,731",,,,,,,
1046,104600,1054,TALLADEGA COLLEGE,AL,Private 4 Year,440,"1,633,715",,,,,,,
1047,104700,1055,TROY UNIVERSITY,AL,Public 4 year,"8,873","25,876,488",,,,,,,
1050,105000,1056,TUSKEGEE UNIVERSITY,AL,Private 4 Year,"1,305","4,712,710",,,,,,,
21706,2170600,5633,UNITED STATES SPORTS ACADEMY,AL,Private 4 Year,67,"160,121",,,,,,,
1051,105100,0007,UNIVERSITY OF ALABAMA,AL,Public 4 year,"4,216","13,919,580",,,,,,,
1052,105200,0008,UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,Public 4 year,"2,895","9,444,165",,,,,,,
1055,105500,0009,UNIVERSITY OF ALABAMA IN HUNTSVILLE,AL,Public 4 year,"1,690","4,827,269",,,,,,,
1029,102900,1044,UNIVERSITY OF MOBILE,AL,Private 4 Year,608,"1,879,253",,,,,,,
1004,100400,0001,UNIVERSITY OF MONTEVALLO,AL,Public 4 year,805,"2,712,966",,,,,,,
1016,101600,1035,UNIVERSITY OF NORTH ALABAMA,AL,Public 4 year,"1,776","5,737,808",,,,,,,
1057,105700,1057,UNIVERSITY OF SOUTH ALABAMA,AL,Public 4 year,"3,258","10,008,051",,,,,,,
1024,102400,1041,UNIVERSITY OF WEST ALABAMA,AL,Public 4 year,"1,160","3,762,854",,,,,,,
30106,3010600,0920,VIRGINIA COLLEGE,AL,Proprietary,"18,516","50,369,017",,,,,,,
41492,4149200,6373,XCELL ACADEMY-A PAUL MITCHELL PARTNER SCHOOL,AL,Proprietary,17,"55,432",,,,,,,
30651,3065100,0954,ABC BEAUTY COLLEGE,AR,Proprietary,60,"182,267",,,,,,,
1087,108700,1073,ARKANSAS BAPTIST COLLEGE,AR,Private 4 Year,606,"1,980,814",,,,,,,
39973,3997300,5762,ARKANSAS BEAUTY COLLEGE,AR,Proprietary,33,"93,296",,,,,,,
30051,3005100,4543,ARKANSAS BEAUTY SCHOOL,AR,Proprietary,67,"192,113",,,,,,,
30076,3007600,4548,ARKANSAS BEAUTY SCHOOL/CONWAY,AR,Proprietary,62,"173,753",,,,,,,
30234,3023400,4574,ARKANSAS COLLEGE OF BARBERING & HAIR DESIGN,AR,Proprietary,152,"496,493",,,,,,,
12860,1286000,3580,ARKANSAS NORTHEASTERN COLLEGE,AR,Public 2 year,977,"2,543,120",,,,,,,
1090,109000,1076,ARKANSAS STATE UNIVERSITY,AR,Public 4 year,"6,028","19,041,417",,,,,,,
1091,109100,5480,ARKANSAS STATE UNIVERSITY - BEEBE,AR,Public 2 year,"1,366","3,976,506",,,,,,,
1089,108900,1075,ARKANSAS TECH UNIVERSITY,AR,Public 4 year,"3,089","9,764,323",,,,,,,
15099,2363500,4273,ARTHUR'S BEAUTY COLLEGE,AR,Proprietary,38,"102,856",,,,,,,
17020,2538500,4366,ARTHUR'S BEAUTY COLLEGE,AR,Proprietary,153,"403,987",,,,,,,
31272,3127200,4815,ASKINS VO TECH,AR,Proprietary,16,"27,866",,,,,,,
31052,3105200,4746,BAPTIST HEALTH SCHOOLS LITTLE ROCK,AR,Private 2 Year,385,"1,054,238",,,,,,,
14554,2260400,4051,BEE JAY'S HAIRSTYLING ACADEMY,AR,Proprietary,46,"131,207",,,,,,,
11948,2052200,3641,BLACK RIVER TECHNICAL COLLEGE,AR,Public 2 year,"1,240","3,601,651",,,,,,,
16596,2341700,4229,CAREER ACADEMY OF HAIR DESIGN,AR,Proprietary,102,"294,948",,,,,,,
1093,109300,1077,CENTRAL BAPTIST COLLEGE,AR,Private 4 Year,222,"719,539",,,,,,,
12432,2220900,3978,COSSATOT COMMUNITY COLLEGE OF THE UNIVERSITY OF ARKANSAS,AR,Public 2 year,638,"1,915,240",,,,,,,
39123,3912300,5715,CROSSETT SCHOOL OF COSMETOLOGY,AR,Proprietary,28,"79,132",,,,,,,
1095,109500,1079,CROWLEY'S RIDGE COLLEGE,AR,Private 4 Year,87,"260,517",,,,,,,
13583,704400,2884,CROWLEY'S RIDGE TECHNICAL INSTITUTE,AR,Public 2 year,237,"657,392",,,,,,,
