OPEID,NAME,CITY,STATE,Type & Control,Recipients,Awards
4149200,XCELL ACADEMY-A PAUL MITCHELL PARTNER SC,HOOVER,AL,Proprietary 2 Year,142,"585,713"
3065100,ABC BEAUTY COLLEGE,ARKADELPHIA,AR,Proprietary 2 Year,61,"263,761"
108700,ARKANSAS BAPTIST COLLEGE,LITTLE ROCK,AR,Private 4 Year,"1,090","4,863,365"
3997300,ARKANSAS BEAUTY COLLEGE,RUSSELLVILLE,AR,Proprietary 2 Year,47,"150,653"
3005100,ARKANSAS BEAUTY SCHOOL,LITTLE ROCK,AR,Proprietary 2 Year,59,"262,643"
3007600,ARKANSAS BEAUTY SCHOOL-CONWAY,CONWAY,AR,Proprietary 2 Year,70,"263,939"
3023400,ARKANSAS COLLEGE OF BARBERING,NORTH LITTLE ROCK,AR,Proprietary 2 Year,124,"565,268"
1286000,ARKANSAS NORTHEASTERN COLLEGE,BLYTHEVILLE,AR,Public 2 Year,"1,323","4,523,048"
109000,ARKANSAS STATE UNIVERSITY,STATE UNIVERSITY,AR,Public 4 Year,"7,258","30,820,076"
109100,ARKANSAS STATE UNIVERSITY - BEEBE,BEEBE,AR,Public 2 Year,"1,753","6,710,672"
108900,ARKANSAS TECH UNIVERSITY,RUSSELLVILLE,AR,Public 4 Year,"4,777","19,969,917"
108906,ARKANSAS VALLEY TECHNICAL INSTITUTE,OZARK,AR,Public 4 Year,1,"2,775"
2363500,ARTHUR'S BEAUTY COLLEGE,FORT SMITH,AR,Proprietary 2 Year,57,"208,107"
2538500,ARTHUR'S BEAUTY COLLEGE,JACKSONVILLE,AR,Proprietary 2 Year,177,"729,765"
3127200,ASKINS VO-TECH,FORT SMITH,AR,Proprietary 2 Year,14,"29,776"
3105200,BAPTIST HEALTH SCHOOLS LITTLE ROCK,LITTLE ROCK,AR,Private 2 Year,507,"1,800,659"
2260400,BEE JAY'S HAIRSTYLING ACADEMY,LITTLE ROCK,AR,Proprietary 2 Year,59,"239,879"
2052200,BLACK RIVER TECHNICAL COLLEGE,POCAHONTAS,AR,Public 2 Year,"2,047","8,234,471"
2341700,CAREER ACADEMY OF HAIR DESIGN,SPRINGDALE,AR,Proprietary 2 Year,199,"798,029"
109300,CENTRAL BAPTIST COLLEGE,CONWAY,AR,Private 4 Year,370,"1,421,620"
2220900,COSSATOT COMMUNITY COLLEGE,DE QUEEN,AR,Public 2 Year,871,"3,494,363"
3912300,CROSSETT SCHOOL OF COSMETOLOGY,CROSSETT,AR,Proprietary 2 Year,35,"121,015"
109500,CROWLEYS RIDGE COLLEGE,PARAGOULD,AR,Private 4 Year,115,"501,865"
704400,CROWLEYS RIDGE TECHNICAL INSTITUTE,FORREST CITY,AR,Public 2 Year,283,"1,142,261"
1226000,EAST ARKANSAS COMMUNITY COLLEGE,FORREST CITY,AR,Public 2 Year,868,"3,397,215"
2272400,EASTERN COLLEGE OF HEALTH VOCATIONS,LITTLE ROCK,AR,Proprietary 2 Year,857,"2,707,854"
3855300,ECCLESIA COLLEGE,SPRINGDALE,AR,Private 4 Year,83,"310,257"
109700,HARDING UNIVERSITY,SEARCY,AR,Private 4 Year,"1,220","5,101,697"
109800,HENDERSON STATE UNIVERSITY,ARKADELPHIA,AR,Public 4 Year,"1,870","8,353,141"
109900,HENDRIX COLLEGE,CONWAY,AR,Private 4 Year,299,"1,220,389"
3007100,HOT SPRINGS BEAUTY COLLEGE,HOT SPRINGS,AR,Proprietary 2 Year,74,"327,341"
3124900,IMAGINE -  PAUL MITCHELL PARTNER SCHOOL,NORTH LITTLE ROCK,AR,Proprietary 2 Year,361,"1,556,769"
2330800,JEFFERSON SCHOOL OF NURSING,PINE BLUFF,AR,Private 2 Year,47,"159,552"
110000,JOHN BROWN UNIVERSITY,SILOAM SPRINGS,AR,Private 4 Year,697,"2,646,255"
2525800,LEE'S SCHOOL OF COSMETOLOGY,NORTH LITTLE ROCK,AR,Proprietary 2 Year,33,"162,029"
3519400,LYNNDALE FUNDAMENTALS OF BEAUTY SCH,EL DORADO,AR,Proprietary 2 Year,21,"70,854"
108800,LYON COLLEGE,BATESVILLE,AR,Private 4 Year,286,"1,234,915"
3254300,MARGARET'S HAIR ACADEMY,MONTICELLO,AR,Proprietary 2 Year,62,"214,044"
2287400,MARSHA KAY BEAUTY COLLEGE,MOUNTAIN HOME,AR,Proprietary 2 Year,21,"62,051"
1074100,MELLIE'S BEAUTY COLLEGE,FORT SMITH,AR,Proprietary 2 Year,76,"327,342"
2348200,MID-SOUTH COMMUNITY COLLEGE,WEST MEMPHIS,AR,Public 2 Year,"1,813","5,718,110"
1210500,NATIONAL PARK COMMUNITY COLLEGE,HOT SPRINGS,AR,Public 2 Year,"2,795","10,933,901"
2284200,NEW TYLER BARBER COLLEGE INC,NORTH LITTLE ROCK,AR,Proprietary 2 Year,94,"448,933"
1226100,NORTH ARKANSAS COLLEGE,HARRISON,AR,Public 2 Year,"1,797","6,945,488"
3063300,NORTHWEST ARKANSAS COMMUNITY COLLEG,BENTONVILLE,AR,Public 2 Year,"3,880","13,051,409"
2073700,NORTHWEST TECHNICAL INSTITUTE,SPRINGDALE,AR,Public 2 Year,238,"865,649"
110200,OUACHITA BAPTIST UNIVERSITY,ARKADELPHIA,AR,Private 4 Year,441,"1,760,769"
997600,OUACHITA TECHNICAL COLLEGE,MALVERN,AR,Public 2 Year,721,"2,635,765"
2087000,OZARKA COLLEGE,MELBOURNE,AR,Public 2 Year,"1,451","5,773,268"
792100,PAUL MITCHELL THE SCHOOL ARKANSAS,FAYETTEVILLE,AR,Proprietary 2 Year,92,"379,460"
110300,PHILANDER SMITH COLLEGE,LITTLE ROCK,AR,Private 4 Year,567,"2,577,849"
110400,PHILLIPS COUNTY COMMUNITY COLLEGE,HELENA,AR,Public 2 Year,"1,142","4,257,060"
2202400,PROFESSIONAL COSMETOLOGY EDUC CTR,EL DORADO,AR,Proprietary 2 Year,59,"291,054"
2075300,PULASKI TECHNICAL COLLEGE,NORTH LITTLE ROCK,AR,Public 2 Year,"8,531","32,465,827"
2111100,RICH MOUNTAIN COMMUNITY COLLEGE,MENA,AR,Public 2 Year,598,"2,285,562"
4183400,SALON PROFESSIONAL ACADEMY (THE),NORTH LITTLE ROCK,AR,Proprietary 2 Year,17,"69,259"
2569600,SEARCY BEAUTY COLLEGE,SEARCY,AR,Proprietary 2 Year,52,"203,703"
570700,SEARK COLLEGE,PINE BLUFF,AR,Public 2 Year,"1,482","5,538,183"
2074600,SOUTH ARKANSAS COMMUNITY COLLEGE,EL DORADO,AR,Public 2 Year,"1,221","4,811,799"
110700,SOUTHERN ARKANSAS UNIVERSITY,MAGNOLIA,AR,Public 4 Year,"1,742","7,821,189"
773800,SOUTHERN ARKANSAS UNIVERSITY TECH,CAMDEN,AR,Public 2 Year,745,"2,764,362"
2339800,SOUTHERN INSTITUTE OF COSMETOLOGY,WEST MEMPHIS,AR,Proprietary 2 Year,134,"530,051"
524500,U OF A COMM COLLEGE AT MORRILTON,MORRILTON,AR,Public 2 Year,"1,717","6,333,143"
573200,UNIV AR COMMUNITY COLLEGE AT HOPE,HOPE,AR,Public 2 Year,"1,194","4,285,387"
110800,UNIV ARKANSAS FAYETTEVILLE,FAYETTEVILLE,AR,Public 4 Year,"4,619","19,304,616"
110100,UNIV ARKANSAS LITTLE ROCK,LITTLE ROCK,AR,Public 4 Year,"4,635","17,973,054"
108500,UNIV ARKANSAS MONTICELLO,MONTICELLO,AR,Public 4 Year,"2,438","10,124,571"
108600,UNIV OF ARKANSAS AT PINE BLUFF,PINE BLUFF,AR,Public 4 Year,"2,550","11,861,043"
2073500,UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE,BATESVILLE,AR,Public 2 Year,"1,359","5,258,167"
110900,UNIVERSITY OF ARKANSAS FOR MEDICAL SCIEN,LITTLE ROCK,AR,Public 4 Year,344,"1,471,598"
111000,UNIVERSITY OF ARKANSAS-FORT SMITH,FORT SMITH,AR,Public 4 Year,"4,473","17,561,771"
109200,UNIVERSITY OF CENTRAL ARKANSAS,CONWAY,AR,Public 4 Year,"4,034","16,998,901"
109400,UNIVERSITY OF THE OZARKS,CLARKSVILLE,AR,Private 4 Year,271,"1,124,835"
3214300,VELVATEX COLLEGE OF BEAUTY CULTURE,LITTLE ROCK,AR,Proprietary 2 Year,15,"91,356"
4183100,WASHINGTON BARBER COLLEGE,LITTLE ROCK,AR,Proprietary 2 Year,16,"57,131"
110600,WILLIAMS BAPTIST COLLEGE,WALNUT RIDGE,AR,Private 4 Year,330,"1,360,206"
1001000,AMERICAN SAMOA CMNTY COLLEGE,PAGO PAGO,AS,Public 2 Year,"1,916","6,813,315"
4174200,ALL BEAUTY COLLEGE,FORT MOHAVE,AZ,Proprietary 2 Year,47,"252,608"
2199900,AMERICAN INDIAN CLG-ASSEMBLIES GOD,PHOENIX,AZ,Private 4 Year,89,"343,191"
4148700,AMERICAN INSTITUTE OF INTERIOR DESIGN,FOUNTAIN HILLS,AZ,Proprietary 2 Year,9,"40,855"
2317800,AMERICAN INSTITUTE OF TECHNOLOGY,PHOENIX,AZ,Proprietary 2 Year,"1,068","3,508,529"
2263100,ANTHEM COLLEGE,PHOENIX,AZ,Proprietary 4 Year,"4,372","18,211,304"
886400,ARIZONA ACADEMY OF BEAUTY,TUCSON,AZ,Proprietary 2 Year,86,"338,426"
1180200,ARIZONA ACADEMY OF BEAUTY-NORTH,TUCSON,AZ,Proprietary 2 Year,73,"279,696"
1084700,ARIZONA AUTOMOTIVE INSTITUTE,GLENDALE,AZ,Proprietary 2 Year,"2,255","10,778,832"
3115000,ARIZONA COLLEGE OF ALLIED HEALTH,GLENDALE,AZ,Proprietary 2 Year,865,"3,264,262"
4120900,ARIZONA CULINARY INSTITUTE,SCOTTSDALE,AZ,Proprietary 2 Year,94,"328,253"
108100,ARIZONA STATE UNIV (ALL CAMPUSES),TEMPE,AZ,Public 4 Year,"22,997","93,418,979"
107100,ARIZONA WESTERN COLLEGE,YUMA,AZ,Public 2 Year,"5,835","19,683,434"
4051300,ART INSTITUTE OF PHOENIX (THE),PHOENIX,AZ,Proprietary 4 Year,"2,006","7,551,962"
4051306,ART INSTITUTE OF PHOENIX (THE) - ART INS,TUCSON,AZ,Proprietary 4 Year,419,"1,762,037"
4051325,ART INSTITUTE OF PHOENIX (THE) - BROWN M,TUCSON,AZ,Proprietary 4 Year,"5,342","22,159,726"
1293700,ARTISTIC BEAUTY COLLEGES - PARADISE VALL,SCOTTSDALE,AZ,Proprietary 2 Year,102,"473,913"
1180800,ARTISTIC BEAUTY COLLEGES-FLAGSTAFF,FLAGSTAFF,AZ,Proprietary 2 Year,361,"1,536,549"
2220300,ARTISTIC BEAUTY COLLEGES-GLENDALE,PHOENIX,AZ,Proprietary 2 Year,310,"1,306,432"
1234300,ARTISTIC BEAUTY COLLEGES-PHOENIX,GLENDALE,AZ,Proprietary 2 Year,332,"1,343,736"
886500,ARTISTIC BEAUTY COLLEGES-TUCSON,TUCSON,AZ,Proprietary 2 Year,353,"1,516,462"
1085800,AVALON SCHOOL OF COSMETOLOGY,MESA,AZ,Proprietary 2 Year,575,"2,413,399"
2561900,BRILLARE HAIRDRESSING ACADEMY,SCOTTSDALE,AZ,Proprietary 2 Year,179,"793,178"
2218800,BROOKLINE COLLEGE,PHOENIX,AZ,Proprietary 4 Year,"4,971","17,250,868"
3076400,BRYMAN SCHOOL OF ARIZONA,PHOENIX,AZ,Proprietary 2 Year,"3,904","13,595,041"
2100600,CARRINGTON COLLEGE,PHOENIX,AZ,Proprietary 4 Year,"4,546","18,380,089"
3097800,CARSTEN INSTITUTE OF HAIR & BEAUTY,TEMPE,AZ,Proprietary 2 Year,154,"630,494"
4172100,CCIC BEAUTY COLLEGE,PEORIA,AZ,Proprietary 2 Year,19,"64,415"
728300,CENTRAL ARIZONA COLLEGE,COOLIDGE,AZ,Public 2 Year,"3,985","13,443,972"
