PELLID,OPEID,Name,City,State,Type & Control,Recips,Awards
30691,3069100,ALLEN COLLEGE,WATERLOO,IA,Private 4 Year,103,"262,686"
7658,765800,AMER COLL OF HAIRSTYLING-DES MOINES,DES MOINES,IA,Proprietary,31,"87,187"
13972,765600,AMERICAN COLLEGE OF HARISTYLING -CR,CEDAR RAPIDS,IA,Proprietary,16,"55,181"
1881,188100,ASHFORD UNIVERSITY,CLINTON,IA,Proprietary,"13,901","30,768,415"
16167,2289000,BILL HILLS COLLEGE OF COSMETOLOGY,FT MADISON,IA,Proprietary,29,"92,900"
40893,4089300,BIO-CHI INSTITUTE OF MASSAGE THERAPY,SIOUX CITY,IA,Proprietary,9,"21,219"
1846,184600,BRIAR CLIFF UNIVERSITY,SIOUX CITY,IA,Private 4 Year,472,"1,210,190"
1847,184700,BUENA VISTA UNIVERSITY,STORM LAKE,IA,Private 4 Year,"1,152","3,118,859"
7588,758800,CAPRI COLLEGE,DUBUQUE,IA,Proprietary,98,"306,303"
7717,771700,CAPRI COLLEGE,DAVENPORT,IA,Proprietary,107,"335,986"
14390,2090300,CAPRI COLLEGE,CEDAR RAPIDS,IA,Proprietary,103,"288,413"
37203,3720300,CARLSON COLLEGE OF MASSAGE THERAPY,ANAMOSA,IA,Proprietary,11,"22,092"
1850,185000,CENTRAL COLLEGE,PELLA,IA,Private 4 Year,333,"836,610"
1852,185200,CLARKE COLLEGE,DUBUQUE,IA,Private 4 Year,355,"985,599"
1853,407501,CLINTON COMMUNITY COLLEGE,CLINTON,IA,Public 2 Year,492,"1,218,880"
1854,185400,COE COLLEGE,CEDAR RAPIDS,IA,Private 4 Year,303,"845,246"
7941,794100,COLLEGE OF HAIR DESIGN,WATERLOO,IA,Proprietary,55,"155,171"
1856,185600,CORNELL COLLEGE,MOUNT VERNON,IA,Private 4 Year,235,"656,694"
16806,2333200,DAYTON'S SCHOOL OF HAIR DESIGN,KEOKUK,IA,Proprietary,17,"45,335"
16901,811600,DAYTON'S SCHOOL OF HAIR DESIGN,BURLINGTON,IA,Proprietary,18,"49,436"
4589,712000,DES MOINES AREA CMTY COLLEGE,ANKENY,IA,Public 2 Year,"5,005","11,843,639"
1858,185800,DIVINE WORD COLLEGE,EPWORTH,IA,Private 4 Year,27,"99,545"
1859,185900,DORDT COLLEGE,SIOUX CENTER,IA,Private 4 Year,336,"877,151"
1860,186000,DRAKE UNIVERSITY,DES MOINES,IA,Private 4 Year,579,"1,545,302"
1862,186200,ELLSWORTH COMMUNITY COLLEGE,IOWA FALLS,IA,Public 2 Year,373,"1,004,463"
16487,2328900,EMMAUS BIBLE COLLEGE,DUBUQUE,IA,Private 4 Year,94,"281,932"
7611,761100,EQ SCHOOL OF HAIR DESIGN,COUNCIL BLUFFS,IA,Proprietary,84,"229,739"
7121,712100,FAITH BAPTIST BIBLE CLG & THEOL SEM,ANKENY,IA,Private 4 Year,136,"343,255"
15973,2262500,FAUST INSTITUTE OF COSMETOLOGY,STORM LAKE,IA,Proprietary,37,"104,934"
1866,186600,GRACELAND UNIVERSITY,LAMONI,IA,Private 4 Year,461,"1,266,633"
1867,186700,GRAND VIEW COLLEGE,DES MOINES,IA,Private 4 Year,568,"1,507,038"
1868,186800,GRINNELL COLLEGE,GRINNELL,IA,Private 4 Year,199,"570,135"
4220,422000,HAMILTON COLLEGE,CEDAR RAPIDS,IA,Proprietary,"4,541","11,692,703"
12064,1206400,HAMILTON TECHNICAL COLLEGE,DAVENPORT,IA,Proprietary,239,"647,356"
4595,459500,HAWKEYE COMMUNITY COLLEGE,WATERLOO,IA,Public 2 Year,"2,137","5,081,988"
1849,840301,INDIAN HILLS COMMUNITY COLLEGE,CENTERVILLE,IA,Public 2 Year,269,"692,977"
8298,840300,INDIAN HILLS COMMUNITY COLLEGE,OTTUMWA,IA,Public 2 Year,"1,705","4,116,697"
4597,186500,IOWA CENTRAL COMMUNITY COLLEGE,FORT DODGE,IA,Public 2 Year,"1,731","4,275,586"
1864,186400,IOWA LAKES COMMUNITY COLLEGE,ESTHERVILLE,IA,Public 2 Year,"1,006","2,696,094"
6267,626700,IOWA METHODIST MEDICAL CENTER SCHOOLS,DES MOINES,IA,Private 2 Year,13,"38,405"
16306,2306900,IOWA SCHOOL OF BEAUTY,OTTUMWA,IA,Proprietary,46,"153,311"
16513,2330900,IOWA SCHOOL OF BEAUTY,MARSHALLTOWN,IA,Proprietary,25,"70,523"
34413,3441300,IOWA SCHOOL OF BEAUTY,SIOUX CITY,IA,Proprietary,49,"152,483"
15139,826000,IOWA SCHOOL OF BEAUTY INC,DES MOINES,IA,Proprietary,107,"259,665"
1869,186900,IOWA STATE UNIV SCIENCE & TECHNOLOG,AMES,IA,Public 4 Year,"4,511","12,016,772"
1871,187100,IOWA WESLEYAN COLLEGE,MOUNT PLEASANT,IA,Private 4 Year,365,"990,171"
4598,459800,IOWA WESTERN CMTY CLG-COUNCIL BLUFF,COUNCIL BLUFFS,IA,Public 2 Year,"1,724","4,122,863"
4586,458600,KAPLAN UNIVERSITY,DAVENPORT,IA,Proprietary,"37,992","82,062,689"
4076,407600,KIRKWOOD COMMUNITY COLLEGE,CEDAR RAPIDS,IA,Public 2 Year,"4,858","12,112,829"
7659,765900,LA JAMES COLLEGE OF HAIRSTYLING,MASON CITY,IA,Proprietary,76,"213,149"
8424,842400,LA JAMES INTERNATIONAL COLLEGE,FORT DODGE,IA,Proprietary,56,"161,076"
15133,2134500,LA JAMES INTERNATIONAL COLLEGE - DAV,DAVENPORT,IA,Proprietary,47,"110,877"
16045,2274100,LA' JAMES INTERNATIONAL COLLEGE - DM,JOHNSTON,IA,Proprietary,129,"357,852"
13006,1300600,LA' JAMES INTERNATIONAL COLLEGE-CF,CEDAR FALLS,IA,Proprietary,64,"164,025"
9593,959300,LA'JAMES COLLEGE OF HAIRSTYLING,IOWA CITY,IA,Proprietary,80,"211,331"
1873,187300,LORAS COLLEGE,DUBUQUE,IA,Private 4 Year,342,"901,503"
1874,187400,LUTHER COLLEGE,DECORAH,IA,Private 4 Year,448,"1,169,934"
11113,1111300,MAHARISHI UNIV OF MANAGEMENT,FAIRFIELD,IA,Private 4 Year,127,"351,031"
1875,187500,MARSHALLTOWN COMMUNITY COLLEGE,MARSHALLTOWN,IA,Public 2 Year,661,"1,621,172"
6273,627300,MERCY COLLEGE OF HEALTH SCIENCES,DES MOINES,IA,Private 4 Year,267,"664,370"
1879,187900,MORNINGSIDE COLLEGE,SIOUX CITY,IA,Private 4 Year,411,"1,108,951"
1880,188000,MOUNT MERCY COLLEGE,CEDAR RAPIDS,IA,Private 4 Year,388,"1,017,462"
1882,407502,MUSCATINE COMMUNITY COLLEGE,MUSCATINE,IA,Public 2 Year,435,"978,631"
1877,187700,NORTH IOWA AREA COMMUNITY COLLEGE,MASON CITY,IA,Public 2 Year,992,"2,351,031"
4587,458700,NORTHEAST IOWA COMMUNITY COLLEGE,CALMAR,IA,Public 2 Year,706,"1,753,243"
12634,458701,NORTHEAST IOWA COMMUNITY COLLEGE,PEOSTA,IA,Public 2 Year,901,"2,114,402"
4600,460000,NORTHWEST IOWA COMMUNITY COLLEGE,SHELDON,IA,Public 2 Year,272,"672,583"
1883,188300,NORTHWESTERN COLLEGE,ORANGE CITY,IA,Private 4 Year,411,"1,051,892"
12300,1230000,PALMER COLLEGE OF CHIROPRACTIC,DAVENPORT,IA,Private 4 Year,54,"132,522"
4074,407503,SCOTT COMMUNITY COLLEGE,BETTENDORF,IA,Public 2 Year,"1,755","4,126,316"
1887,188700,SIMPSON COLLEGE,INDIANOLA,IA,Private 4 Year,490,"1,270,508"
4603,184800,SOUTHEASTERN COMMUNITY COLLEGE,WEST BURLINGTON,IA,Public 2 Year,"1,500","3,863,997"
1857,185700,SOUTHWESTERN COMMUNITY COLLEGE,CRESTON,IA,Public 2 Year,551,"1,412,802"
1889,188900,ST AMBROSE UNIVERSITY,DAVENPORT,IA,Private 4 Year,649,"1,742,572"
7291,729100,ST LUKE'S COLLEGE,SIOUX CITY,IA,Private 2 Year,66,"162,753"
36074,3607400,TOTAL LOOK SCHOOL OF COSMETOLOGY AND MAS,CRESCO,IA,Proprietary,10,"30,854"
1891,189100,UNIVERSITY OF DUBUQUE,DUBUQUE,IA,Private 4 Year,550,"1,589,867"
1892,189200,UNIVERSITY OF IOWA,IOWA CITY,IA,Public 4 Year,"3,463","9,206,532"
1890,189000,UNIVERSITY OF NORTHERN IOWA,CEDAR FALLS,IA,Public 4 Year,"2,709","7,005,501"
1893,189300,UPPER IOWA UNIVERSITY,FAYETTE,IA,Private 4 Year,"1,918","4,330,184"
26092,2609200,VATTEROTT COLLEGE,DES MOINES,IA,Proprietary,"1,096","3,332,402"
1894,189400,VENNARD COLLEGE,UNIVERSITY PARK,IA,Private 4 Year,46,"137,985"
1895,189500,WALDORF COLLEGE,FOREST CITY,IA,Private 4 Year,245,"680,267"
1896,189600,WARTBURG COLLEGE,WAVERLY,IA,Private 4 Year,425,"1,090,023"
4590,731600,WESTERN IOWA TECH COMMUNITY COLLEGE,SIOUX CITY,IA,Public 2 Year,"1,755","4,261,485"
1900,190000,WILLIAM PENN UNIVERSITY,OSKALOOSA,IA,Private 4 Year,951,"2,591,669"
1617,161700,"""COLLEGE OF IDAHO, THE""",CALDWELL,ID,Private 4 Year,195,"540,431"
30987,3098700,ACADEMY OF COURT REPORTING,BOISE,ID,Proprietary,705,"1,997,970"
15667,2218000,APOLLO COLLEGE,BOISE,ID,Proprietary,608,"1,579,150"
15783,2234500,BOISE BIBLE COLLEGE,BOISE,ID,Private 4 Year,78,"202,704"
1616,161600,BOISE STATE UNIVERSITY,BOISE,ID,Public 4 Year,"5,394","14,305,201"
1625,162500,BRIGHAM YOUNG UNIVERSITY-IDAHO,REXBURG,ID,Private 4 Year,"7,434","21,562,594"
15617,2210700,CAREER BEAUTY COLLEGE,REXBURG,ID,Proprietary,56,"174,950"
1619,161900,COLLEGE OF SOUTHERN IDAHO,TWIN FALLS,ID,Public 2 Year,"2,178","5,320,631"
38324,3832400,COSMETOLOGY SCHOOL OF ARTS & SCIENCES,BURLEY,ID,Proprietary,41,"136,803"
11133,1113300,EASTERN IDAHO TECHNICAL COLLEGE,IDAHO FALLS,ID,Public 2 Year,405,"941,992"
16433,2319800,HEADMASTERS SCHOOL OF HAIR DESIGN,COEUR D'ALENE,ID,Proprietary,168,"508,884"
16668,2349200,HEADMASTERS SCHOOL OF HAIR DESIGN,LEWISTON,ID,Proprietary,47,"161,777"
1620,162000,IDAHO STATE UNIVERSITY,POCATELLO,ID,Public 4 Year,"4,769","12,829,052"
4553,455300,ITT TECHNICAL INSTITUTE,BOISE,ID,Proprietary,"1,236","2,970,041"
1621,162100,LEWIS-CLARK STATE COLLEGE,LEWISTON,ID,Public 4 Year,"1,316","3,494,895"
9873,987300,MR JUAN'S CLG OF HAIR DESIGN,TWIN FALLS,ID,Proprietary,38,"115,995"
16054,2275800,MR LEONS SCHOOL OF HAIR DESIGN,MOSCOW,ID,Proprietary,81,"251,998"
1623,162300,NORTH IDAHO COLLEGE,COEUR D'ALENE,ID,Public 2 Year,"1,492","3,715,219"
1624,162400,NORTHWEST NAZARENE UNIVERSITY,NAMPA,ID,Private 4 Year,380,"1,032,818"
17178,2559500,RAZZLE DAZZLE CLG OF HAIR DESIGN,NAMPA,ID,Proprietary,88,"222,157"
16432,2314000,SCHOOL OF HAIRSTYLING (THE),CHUBBUCK,ID,Proprietary,49,"163,959"
26071,2607100,SCOT LEWIS SCHOOLS,BOISE,ID,Proprietary,111,"318,228"
1626,162600,UNIVERSITY OF IDAHO,MOSCOW,ID,Public 4 Year,"2,924","8,454,093"
39143,3914300,"""CALC, INSTITUTE OF TECHNOLOGY""",ALTON,IL,Proprietary,131,"302,299"
25849,2584900,"""FIRST INSTITUTE, INC.""",CRYSTAL LAKE,IL,Proprietary,43,"98,856"
10737,1073700,ADVOCATE IL MASONIC SCH OF RAD TECH,CHICAGO,IL,Private 2 Year,4,"6,530"
4181,418100,ADVOCATE TRINITY HOSPITAL SCHOOL OF RADI,CHICAGO,IL,Private 2 Year,17,"61,915"
16663,2349400,ALVAREITA'S COLLEGE OF COSMETOLOGY,GODFREY,IL,Proprietary,29,"88,935"
8328,832800,ALVAREITA'S COLLEGE OF COSMETOLOGY,EDWARDSVILLE,IL,Proprietary,55,"130,128"
1628,162800,AMERICAN ACADEMY OF ART,CHICAGO,IL,Proprietary,133,"357,914"
37214,3721400,AMERICAN CAREER COLLEGE,BERWYN,IL,Proprietary,77,"200,316"
21799,2179900,ARGOSY UNIVERSITY,CHICAGO,IL,Proprietary,"1,713","3,549,609"
1633,163300,AUGUSTANA COLLEGE,ROCK ISLAND,IL,Private 4 Year,385,"1,010,607"
1634,163400,AURORA UNIVERSITY,AURORA,IL,Private 4 Year,587,"1,658,190"
13949,2117400,BECK AREA CAREER CENTER,RED BUD,IL,Public 2 Year,55,"198,425"
17036,2536700,BELL MAR BEAUTY COLLEGE,CICERO,IL,Proprietary,77,"211,988"
1767,176700,BENEDICTINE UNIVERSITY,LISLE,IL,Private 4 Year,782,"2,143,738"
34483,3448300,BIR TRAINING CENTER,CHICAGO,IL,Proprietary,234,"361,617"
1638,163800,BLACK HAWK COLLEGE,MOLINE,IL,Public 2 Year,"2,219","5,167,435"
1639,163900,BLACKBURN COLLEGE,CARLINVILLE,IL,Private 4 Year,267,"773,623"
4143,414300,BLESSING HOSPITAL SCHOOL OF RADIOLOGIC T,QUINCY,IL,Private 4 Year,14,"45,135"
6214,621400,BLESSING RIEMAN COLLEGE OF NURSING,QUINCY,IL,Private 4 Year,41,"104,171"
1641,164100,BRADLEY UNIVERSITY,PEORIA,IL,Private 4 Year,963,"2,590,196"
30997,3099700,CAIN'S BARBER COLLEGE,CHICAGO,IL,Proprietary,213,"560,283"
30784,3078400,CAMEO BEAUTY ACADEMY,OAK LAWN,IL,Proprietary,102,"266,811"
8939,893900,CANNELLA SCHOOL OF HAIR DESIGN,BLUE ISLAND,IL,Proprietary,109,"262,002"
9595,959500,CANNELLA SCHOOL OF HAIR DESIGN,CHICAGO,IL,Proprietary,94,"240,666"
15568,2202600,CANNELLA SCHOOL OF HAIR DESIGN,VILLA PARK,IL,Proprietary,50,"141,409"
16171,2291200,CANNELLA SCHOOL OF HAIR DESIGN,CHICAGO,IL,Proprietary,93,"215,817"
16218,2295500,CANNELLA SCHOOL OF HAIR DESIGN,ELGIN,IL,Proprietary,68,"158,108"
16694,2349500,CANNELLA SCHOOL OF HAIR DESIGN,CHICAGO,IL,Proprietary,215,"576,781"
16426,1071000,CAPITAL AREA SCH OF PRAC NRSG,SPRINGFIELD,IL,Public 2 Year,125,"324,496"
13087,1308700,CAPRI GARFIELD RIDGE SCH OF BTY CLR,CHICAGO,IL,Proprietary,169,"430,443"
13088,1308800,CAPRI OAK FOREST COLLEGE OF BEAUTY,OAK FOREST,IL,Proprietary,103,"282,366"
7265,726500,CARL SANDBURG COLLEGE,GALESBURG,IL,Public 2 Year,"1,158","2,683,911"
1694,169400,CHICAGO STATE UNIVERSITY,CHICAGO,IL,Public 4 Year,"3,819","11,065,634"
34723,3472300,CHICAGO URBAN LEAGUE COMPUTER TRAIN,CHICAGO,IL,Private 2 Year,2,"3,763"
31993,3199300,CHRISTIAN LIFE COLLEGE,MOUNT PROSPECT,IL,Private 4 Year,19,"50,935"
1647,164700,CITY COLLEGES OF CHICAGO,CHICAGO,IL,Public 2 Year,65,"151,925"
1650,165000,CITY COLLEGES OF CHICAGO-MALCOLM X,CHICAGO,IL,Public 2 Year,"2,907","6,665,071"
6656,665600,COLLEGE OF DUPAGE,GLEN ELLYN,IL,Public 2 Year,"3,428","7,613,963"
7694,769400,COLLEGE OF LAKE COUNTY,GRAYSLAKE,IL,Public 2 Year,"1,755","3,330,625"
1665,166500,COLUMBIA COLLEGE,CHICAGO,IL,Private 4 Year,"3,089","8,617,692"
34163,3416300,COMPUTER SYSTEMS INSTITUTE,SKOKIE,IL,Proprietary,578,"1,527,886"
16393,2317300,CONCEPT COLLEGE OF COSMETOLOGY,DANVILLE,IL,Proprietary,78,"205,240"
1666,166600,CONCORDIA UNIVERSITY,RIVER FOREST,IL,Private 4 Year,309,"873,152"
16758,2352200,COOKING & HOSPITALITY INSTITUTE,CHICAGO,IL,Proprietary,672,"1,913,729"
34557,3455700,CORTIVA INSTITUTE - CHICAGO,CHICAGO,IL,Proprietary,180,"233,784"
15086,2150600,COSMETOLOGY AND SPA INSTITUTE (THE),CRYSTAL LAKE,IL,Proprietary,100,"257,649"
7549,754900,COYNE AMERICAN INSTITUTE,CHICAGO,IL,Proprietary,"1,140","2,379,106"
1669,166900,DANVILLE AREA COMMUNITY COLLEGE,DANVILLE,IL,Public 2 Year,971,"2,164,146"
1671,167100,DEPAUL UNIVERSITY,CHICAGO,IL,Private 4 Year,"3,966","10,728,756"
10727,1072700,DEVRY UNIVERSITY,CHICAGO,IL,Proprietary,"33,253","76,337,932"
1750,175000,DOMINICAN UNIVERSITY,RIVER FOREST,IL,Private 4 Year,464,"1,312,331"
15310,2168600,EAST WEST UNIVERSITY,CHICAGO,IL,Private 4 Year,"1,140","2,961,012"
1674,167400,EASTERN ILLINOIS UNIVERSITY,CHARLESTON,IL,Public 4 Year,"2,640","7,512,845"
8259,825900,EDUCATORS OF BEAUTY,STERLING,IL,Proprietary,144,"400,997"
9475,947500,EDUCATORS OF BEAUTY,LA SALLE,IL,Proprietary,30,"75,989"
1675,167500,ELGIN COMMUNITY COLLEGE,ELGIN,IL,Public 2 Year,"1,527","3,145,264"
1676,167600,ELMHURST COLLEGE,ELMHURST,IL,Private 4 Year,639,"1,801,261"
17319,2556100,ENVIRONMENTAL TECHNICAL INSTITUTE,ITASCA,IL,Proprietary,413,"987,066"
1678,167800,EUREKA COLLEGE,EUREKA,IL,Private 4 Year,217,"625,547"
38814,3881400,EUROPEAN MASSAGE THERAPY SCHOOL,SKOKIE,IL,Proprietary,60,"120,187"
11858,1185800,EVEREST COLLEGE,SKOKIE,IL,Proprietary,"1,643","3,921,550"
16924,2522800,FOX COLLEGE,OAK LAWN,IL,Proprietary,164,"504,433"
4560,456000,GEM CITY COLLEGE,QUINCY,IL,Proprietary,34,"76,370"
9145,914500,GOVERNORS STATE UNIVERSITY,UNIVERSITY PARK,IL,Public 4 Year,983,"2,589,726"
8938,893800,GRAHAM HOSPITAL SCH OF NURSING,CANTON,IL,Private 2 Year,38,"115,025"
1684,168400,GREENVILLE COLLEGE,GREENVILLE,IL,Private 4 Year,532,"1,363,451"
16841,2498200,HAIR PROFESSIONALS ACAD COSMETOLOGY,WHEATON,IL,Proprietary,71,"168,224"
15965,2261200,HAIR PROFESSIONALS ACAD COSMETOLOGY,WEST DUNDEE,IL,Proprietary,98,"211,204"
16504,2332200,HAIR PROFESSIONALS CAREER COLLEGE,SYCAMORE,IL,Proprietary,79,"205,352"
25877,2587700,HAIR PROFESSIONALS CAREER COLLEGE,PALOS HILLS,IL,Proprietary,95,"205,669"
15970,2262100,HAIR PROFESSIONALS SCH COSMETOLOGY,OSWEGO,IL,Proprietary,74,"167,493"
30020,3002000,HAIRMASTERS INST OF COSMETOLOGY,BLOOMINGTON,IL,Proprietary,60,"131,587"
25995,2599500,HANOVER PARK COLLEGE OF BEAUTY CULT,HANOVER PARK,IL,Proprietary,78,"179,526"
1652,165200,HAROLD WASHINGTON COLLEGE,CHICAGO,IL,Public 2 Year,"4,177","9,917,894"
13601,2055200,HARRINGTON COLLEGE OF DESIGN,CHICAGO,IL,Proprietary,405,"930,813"
30838,3083800,HEARTLAND COMMUNITY COLLEGE,NORMAL,IL,Public 2 Year,"1,252","2,570,435"
1685,168500,HEBREW THEOLOGICAL COLLEGE,SKOKIE,IL,Private 4 Year,162,"544,887"
1681,168100,HIGHLAND COMMUNITY COLLEGE,FREEPORT,IL,Public 2 Year,769,"1,668,967"
14090,2074400,IL EASTERN COMM COLGS-FRONTIER,FAIRFIELD,IL,Public 2 Year,330,"822,185"
9786,978600,IL EASTERN COMM COLGS-LINCOLN TRAIL,ROBINSON,IL,Public 2 Year,335,"899,338"
1742,174200,IL EASTERN COMM COLGS-OLNEY CENTRAL,OLNEY,IL,Public 2 Year,594,"1,412,098"
1779,177900,IL EASTERN COMM COLGS-WABASH VALLEY,MOUNT CARMEL,IL,Public 2 Year,341,"917,430"
31018,3101800,ILLINOIS CENTER FOR BROADCASTING,LOMBARD,IL,Proprietary,97,"253,331"
6753,675300,ILLINOIS CENTRAL COLLEGE,EAST PEORIA,IL,Public 2 Year,"3,151","6,869,464"
1688,168800,ILLINOIS COLLEGE,JACKSONVILLE,IL,Private 4 Year,275,"725,644"
12584,1258400,ILLINOIS INSTITUTE OF ART (THE),CHICAGO,IL,Proprietary,"1,968","5,157,605"
1691,169100,ILLINOIS INSTITUTE OF TECHNOLOGY,CHICAGO,IL,Private 4 Year,533,"1,626,995"
30998,3099800,ILLINOIS SCHOOL OF HEALTH CAREERS,CHICAGO,IL,Proprietary,925,"2,416,778"
1692,169200,ILLINOIS STATE UNIVERSITY,NORMAL,IL,Public 4 Year,"3,296","8,980,942"
1705,170500,ILLINOIS VALLEY COMMUNITY COLLEGE,OGLESBY,IL,Public 2 Year,988,"2,227,654"
1696,169600,ILLINOIS WESLEYAN UNIVERSITY,BLOOMINGTON,IL,Private 4 Year,261,"670,460"
15231,2160300,INTERNATIONAL ACAD OF DESIGN & TECH,CHICAGO,IL,Proprietary,"2,508","6,617,049"
8076,807600,JOHN A LOGAN COLLEGE,CARTERVILLE,IL,Public 2 Year,"1,840","4,380,190"
12813,1281300,JOHN WOOD COMMUNITY COLLEGE,QUINCY,IL,Public 2 Year,"1,182","2,369,257"
1699,169900,JOLIET JUNIOR COLLEGE,JOLIET,IL,Public 2 Year,"2,085","4,496,920"
1700,170000,JUDSON UNIVERSITY,ELGIN,IL,Private 4 Year,350,"875,885"
7690,769000,KANKAKEE COMMUNITY COLLEGE,KANKAKEE,IL,Public 2 Year,"1,027","2,263,641"
1701,170100,KASKASKIA COLLEGE,CENTRALIA,IL,Public 2 Year,"1,498","3,796,014"
1703,170300,KENDALL COLLEGE,CHICAGO,IL,Private 4 Year,577,"1,290,041"
1654,165400,KENNEDY KING COLLEGE,CHICAGO,IL,Public 2 Year,"4,206","9,627,727"
7684,768400,KISHWAUKEE COLLEGE,MALTA,IL,Public 2 Year,983,"2,412,657"
1704,170400,KNOX COLLEGE,GALESBURG,IL,Private 4 Year,300,"868,468"
16350,2312300,LA' JAMES COLLEGE HAIRSTYLING,EAST MOLINE,IL,Proprietary,26,"75,312"
1706,170600,LAKE FOREST COLLEGE,LAKE FOREST,IL,Private 4 Year,363,"1,076,775"
7644,764400,LAKE LAND COLLEGE,MATTOON,IL,Public 2 Year,"1,572","3,755,947"
10501,1050100,LAKEVIEW  COLLEGE OF NURSING,DANVILLE,IL,Private 4 Year,87,"215,887"
10020,1002000,LEWIS AND CLARK COMMUNITY COLLEGE,GODFREY,IL,Public 2 Year,"1,943","4,606,718"
1707,170700,LEWIS UNIVERSITY,ROMEOVILLE,IL,Private 4 Year,840,"2,272,272"
16942,2527600,LEXINGTON COLLEGE,CHICAGO,IL,Private 4 Year,37,"87,079"
1708,170800,LINCOLN CHRISTIAN COLLEGE,LINCOLN,IL,Private 4 Year,301,"750,614"
1709,170900,LINCOLN COLLEGE,LINCOLN,IL,Private 4 Year,595,"1,646,255"
10316,1031600,LINCOLN COLLEGE OF TECHNOLOGY,MELROSE PARK,IL,Proprietary,"1,443","3,448,147"
7170,717000,LINCOLN LAND COMMUNITY COLLEGE,SPRINGFIELD,IL,Public 2 Year,"2,113","4,506,323"
1710,171000,LOYOLA UNIVERSITY CHICAGO,CHICAGO,IL,Private 4 Year,"2,535","7,418,849"
14120,2228100,MAC DANIEL'S BEAUTY SCHOOL,CHICAGO,IL,Proprietary,63,"194,726"
1716,171600,MACCORMAC COLLEGE,CHICAGO,IL,Private 2 Year,124,"337,844"
1717,171700,MACMURRAY COLLEGE,JACKSONVILLE,IL,Private 4 Year,327,"993,332"
7691,769100,MCHENRY COUNTY COLLEGE,CRYSTAL LAKE,IL,Public 2 Year,788,"1,589,210"
1722,172200,MCKENDREE UNIVERSITY,LEBANON,IL,Private 4 Year,625,"1,698,014"
6228,622800,METHODIST MED CTR OF ILL SCH NRSNG,PEORIA,IL,Private 4 Year,59,"154,807"
4568,456800,MIDSTATE COLLEGE,PEORIA,IL,Proprietary,567,"1,175,590"
39554,3955400,MIDWEST INSTITUTE OF MASSAGE THERAPY,BELLEVILLE,IL,Proprietary,18,"35,452"
33683,3368300,MIDWEST TECHNICAL INSTITUTE,SPRINGFIELD,IL,Proprietary,"1,051","2,717,634"
1657,165700,MIDWESTERN UNIVERSITY,DOWNERS GROVE,IL,Private 4 Year,16,"41,487"
1724,172400,MILLIKIN UNIVERSITY,DECATUR,IL,Private 4 Year,685,"1,851,459"
1725,172500,MONMOUTH COLLEGE,MONMOUTH,IL,Private 4 Year,389,"1,057,516"
7692,769200,MORAINE VALLEY COMMUNITY COLLEGE,PALOS HILLS,IL,Public 2 Year,"2,620","6,105,483"
8880,888000,MORRISON INSTITUTE OF TECHNOLOGY,MORRISON,IL,Private 2 Year,61,"171,210"
1728,172800,MORTON COLLEGE,CICERO,IL,Public 2 Year,"1,693","3,778,854"
15493,2192400,MR JOHNS SCHOOL OF COSMETOLOGY,DECATUR,IL,Proprietary,74,"173,019"
36433,3643300,MR. JOHN'S SCHOOL OF COSMETOLOGY &,JACKSONVILLE,IL,Proprietary,26,"73,644"
7937,793700,MS ROBERTS ACADEMY OF BEAUTY CULT,VILLA PARK,IL,Proprietary,81,"196,995"
31285,3128500,NATIONAL LATINO EDUCATION INSTITUTE,CHICAGO,IL,Private 2 Year,96,"244,303"
1732,173200,NATIONAL UNIV OF HEALTH SCIENCES,LOMBARD,IL,Private 4 Year,48,"112,268"
1733,173300,NATIONAL-LOUIS UNIVERSITY,CHICAGO,IL,Private 4 Year,"1,070","2,390,231"
17214,2556600,NILES SCHOOL OF COSMETOLOGY,NILES,IL,Proprietary,50,"111,639"
1734,173400,NORTH CENTRAL COLLEGE,NAPERVILLE,IL,Private 4 Year,448,"1,133,752"
1735,173500,NORTH PARK UNIVERSITY,CHICAGO,IL,Private 4 Year,592,"1,575,856"
1693,169300,NORTHEASTERN ILLINOIS UNIV,CHICAGO,IL,Public 4 Year,"3,346","8,817,802"
1737,173700,NORTHERN ILLINOIS UNIVERSITY,DEKALB,IL,Public 4 Year,"5,001","14,539,647"
12362,1236200,NORTHWESTERN BUSINESS COLLEGE,CHICAGO,IL,Proprietary,"2,148","4,097,093"
1739,173900,NORTHWESTERN UNIV,EVANSTON,IL,Private 4 Year,845,"2,434,221"
9896,989600,OAKTON COMMUNITY COLLEGE,DES PLAINES,IL,Public 2 Year,"1,417","3,022,888"
16242,2297500,OEHRLEIN SCHOOL OF COSMETOLOGY,EAST PEORIA,IL,Proprietary,55,"127,622"
1653,976700,OLIVE-HARVEY COLLEGE,CHICAGO,IL,Public 2 Year,"2,085","4,967,554"
1741,174100,OLIVET NAZARENE UNIVERSITY,BOURBONNAIS,IL,Private 4 Year,892,"2,474,148"
7118,711800,PARKLAND COLLEGE,CHAMPAIGN,IL,Public 2 Year,"2,301","5,604,314"
10836,1083600,PIVOT POINT INTNL CSMTLGY RSRCH CTR,CHICAGO,IL,Proprietary,274,"729,511"
1640,164000,PRAIRIE STATE COLLEGE,CHICAGO HEIGHTS,IL,Public 2 Year,"2,092","4,362,999"
16448,2323300,PROFESSIONAL'S CHOICE HAIR DSN ACAD,JOLIET,IL,Proprietary,7,"21,625"
