PELLID,OPEID,Name,City,State,Type & Control,Recips,Awards
1019,101900,HUNTINGDON COLLEGE,MONTGOMERY,AL,Private 4 Year,315,"808,236"
38943,3894300,HUNTSVILLE BIBLE COLLEGE,HUNTSVILLE,AL,Private 4 Year,19,"40,773"
5260,526000,J.F. DRAKE STATE TECH COLLEGE,HUNTSVILLE,AL,Public 2 Year,585,"1,477,851"
1020,102000,JACKSONVILLE STATE UNIVERSITY,JACKSONVILLE,AL,Public 4 Year,"3,139","9,075,031"
1021,102100,JEFFERSON DAVIS COMMUNITY COLLEGE,BREWTON,AL,Public 2 Year,677,"1,670,561"
1022,102200,JEFFERSON STATE COMMUNITY COLLEGE,BIRMINGHAM,AL,Public 2 Year,"1,769","3,939,663"
1023,102300,JUDSON COLLEGE,MARION,AL,Private 4 Year,114,"309,514"
1059,105900,LAWSON STATE COMMUNITY COLLEGE,BIRMINGHAM,AL,Public 2 Year,"2,013","5,089,579"
5704,105901,LAWSON STATE COMMUNITY COLLEGE - BESSEME,BESSEMER,AL,Public 2 Year,434,"1,097,014"
8988,898800,LURLEEN B WALLACE COMMUNITY COLLEGE,ANDALUSIA,AL,Public 2 Year,963,"2,631,679"
1026,102600,MARION MILITARY INSTITUTE,MARION,AL,Public 2 Year,121,"366,060"
1028,102800,MILES COLLEGE,FAIRFIELD,AL,Private 4 Year,"1,605","5,108,568"
41165,4116500,MIMI'S BEAUTY ACADEMY OF COSMETOLOGY,HUNTSVILLE,AL,Proprietary,9,"18,239"
1031,103100,NORTHEAST ALABAMA STATE CMNTY COLG,RAINSVILLE,AL,Public 2 Year,"1,507","3,787,752"
5697,569700,NORTHWEST- SHOALS COMMUNITY COLLEGE,MUSCLE SHOALS,AL,Public 2 Year,"1,445","3,787,567"
1032,569702,NORTHWEST-SHOALS C.C.-PHIL CAMPBELL,PHIL CAMPBELL,AL,Public 2 Year,351,"907,865"
1033,103300,OAKWOOD COLLEGE,HUNTSVILLE,AL,Private 4 Year,757,"2,421,187"
16217,2296000,PRINCE INSTITUTE OF PROFESSIONAL STUDIES,MONTGOMERY,AL,Proprietary,54,"139,723"
5692,569200,REID STATE TECHNICAL COLLEGE,EVERGREEN,AL,Public 2 Year,499,"962,271"
26055,2605500,REMINGTON COLLEGE - MOBILE CAMPUS,MOBILE,AL,Proprietary,"3,116","7,309,312"
1036,103600,SAMFORD UNIVERSITY,BIRMINGHAM,AL,Private 4 Year,354,"936,773"
40673,4067300,SELMA UNIVERSITY,SELMA,AL,Private 4 Year,28,"75,586"
5691,569100,SHELTON STATE COMMUNITY CLG,TUSCALOOSA,AL,Public 2 Year,"2,287","5,740,005"
1038,103800,SNEAD STATE COMMUNITY COLLEGE,BOAZ,AL,Public 2 Year,"1,140","2,968,347"
13857,2270400,SOUTHEASTERN BIBLE COLLEGE,BIRIMINGHAM,AL,Private 4 Year,85,"255,195"
34593,3459300,SOUTHEASTERN SCHOOL OF COSMETOLOGY,MIDFIELD,AL,Private 2 Year,125,"349,579"
1040,104000,SOUTHERN UNION STATE COMMUNITY CLG,WADLEY,AL,Public 2 Year,"1,681","4,475,764"
1041,104100,SPRING HILL COLLEGE,MOBILE,AL,Private 4 Year,393,"1,137,242"
1044,104400,STILLMAN COLLEGE,TUSCALOOSA,AL,Private 4 Year,712,"2,367,387"
1046,104600,TALLADEGA COLLEGE,TALLADEGA,AL,Private 4 Year,295,"1,004,078"
33614,3361400,THE MEDICAL INSTITUTE,FOLEY,AL,Proprietary,302,"803,611"
41252,4125200,TONI LOVE'S COSMETOLOGY TRAINING CENTER,MOUNDVILLE,AL,Proprietary,8,"17,240"
1047,104700,TROY STATE UNIVERSITY,TROY,AL,Public 4 Year,"7,929","21,393,606"
1050,105000,TUSKEGEE UNIVERSITY,TUSKEGEE,AL,Private 4 Year,"1,294","4,266,377"
21706,2170600,UNITED STATES SPORTS ACADEMY,DAPHNE,AL,Private 4 Year,54,"108,623"
1051,105100,UNIVERSITY OF ALABAMA (THE),TUSCALOOSA,AL,Public 4 Year,"3,875","11,343,002"
1052,105200,UNIVERSITY OF ALABAMA AT BIRMINGHAM,BIRMINGHAM,AL,Public 4 Year,"3,067","8,844,561"
1055,105500,UNIVERSITY OF ALABAMA IN HUNTSVILLE,HUNTSVILLE,AL,Public 4 Year,"1,543","4,266,138"
1029,102900,UNIVERSITY OF MOBILE,MOBILE,AL,Private 4 Year,572,"1,633,671"
1004,100400,UNIVERSITY OF MONTEVALLO,MONTEVALLO,AL,Public 4 Year,724,"2,173,276"
1016,101600,UNIVERSITY OF NORTH ALABAMA,FLORENCE,AL,Public 4 Year,"1,617","4,667,095"
1057,105700,UNIVERSITY OF SOUTH ALABAMA,MOBILE,AL,Public 4 Year,"3,235","8,911,844"
1024,102400,UNIVERSITY OF WEST ALABAMA,LIVINGSTON,AL,Public 4 Year,"1,243","3,691,793"
30106,3010600,VIRGINIA COLLEGE,HOMEWOOD,AL,Proprietary,"9,658","23,729,757"
31168,3116800,"""DELUXE BEAUTY SCHOOL, L.L.C.""",PINE BLUFF,AR,Proprietary,11,"35,085"
30651,3065100,ARKADELPHIA BEAUTY COLLEGE,ARKADELPHIA,AR,Proprietary,53,"141,321"
1087,108700,ARKANSAS BAPTIST COLLEGE,LITTLE ROCK,AR,Private 4 Year,502,"1,505,461"
39973,3997300,ARKANSAS BEAUTY COLLEGE,RUSSELLVILLE,AR,Proprietary,34,"78,390"
30051,3005100,ARKANSAS BEAUTY SCHOOL,LITTLE ROCK,AR,Proprietary,68,"161,569"
30076,3007600,ARKANSAS BEAUTY SCHOOL-CONWAY,CONWAY,AR,Proprietary,68,"173,165"
30234,3023400,ARKANSAS COLLEGE OF BARBERING,NORTH LITTLE ROCK,AR,Proprietary,127,"396,132"
12860,1286000,ARKANSAS NORTHEASTERN COLLEGE,BLYTHEVILLE,AR,Public 2 Year,919,"2,180,749"
1090,109000,ARKANSAS STATE UNIVERSITY,STATE UNIVERSITY,AR,Public 4 Year,"5,631","15,742,268"
1091,109001,ARKANSAS STATE UNIVERSITY - BEEBE,BEEBE,AR,Public 2 Year,"1,443","3,721,633"
1089,108900,ARKANSAS TECH UNIVERSITY,RUSSELLVILLE,AR,Public 4 Year,"2,958","8,501,411"
15099,2363500,ARTHUR'S BEAUTY COLLEGE,FORT SMITH,AR,Proprietary,52,"107,256"
17020,2538500,ARTHUR'S BEAUTY COLLEGE,JACKSONVILLE,AR,Proprietary,162,"385,479"
