PELLID,Institution,State,Recipients,Awards,
16203,Academy Of Business College                                           ,AZ,238,"378,798",
15681,Aibt International Institute Of The Americas - Phoenix                ,AZ,"2,025","4,229,436",
15333,Al Collins Graphic Design School                                      ,AZ,"1,284","2,619,740",
15550,American Indian College Of The Assemblies Of God                      ,AZ,59,"134,027",
16405,American Institute Of Technology                                      ,AZ,208,"258,600",
14550,Apollo College                                                        ,AZ,"1,242","2,379,702",
8864,Arizona Academy Of Beauty                                             ,AZ,91,"170,579",
11802,Arizona Academy Of Beauty-North                                       ,AZ,76,"125,536",
10847,Arizona Automotive Institute                                          ,AZ,389,"592,395",
31150,Arizona College Of Allied Health                                      ,AZ,117,"201,693",
1081,Arizona State University                                              ,AZ,"8,653","18,132,967",
1071,Arizona Western College                                               ,AZ,"2,485","4,450,503",
16730,Art Center Design College (The)                                       ,AZ,340,"677,568",
12343,Artistic Beauty Colleges - Phoenix                                    ,AZ,115,"172,701",
11808,Artistic Beauty Colleges-Flagstaff                                    ,AZ,111,"210,135",
15694,Artistic Beauty Colleges-Glendale                                     ,AZ,81,"148,487",
12937,Artistic Beauty Colleges-Scottsdale                                   ,AZ,70,"88,115",
8865,Artistic Beauty Colleges-Tucson                                       ,AZ,168,"260,402",
30764,Bryman School (The) - Phoenix                                         ,AZ,"2,147","4,255,033",
30978,Carsten Institute Of Hair And Beauty                                  ,AZ,67,"119,668",
7283,Central Arizona College                                               ,AZ,982,"1,846,614",
30722,Chandler-Gilbert Community College                                    ,AZ,624,"996,341",
9451,Chaparral College                                                     ,AZ,430,"796,473",
16098,Charles Of Italy Beauty College                                       ,AZ,45,"75,206",
16898,Charles Of Italy Beauty College                                       ,AZ,8,"11,036",
14518,Clinton Technical Institute                                           ,AZ,"1,357","2,289,669",
1072,Cochise College                                                       ,AZ,"1,881","3,404,404",
31004,Coconino County Community College-Flagstaff Lone Tree Campus & Dist.Of,AZ,541,"891,611",
30344,Conservatory Of Recording Arts & Sciences                             ,AZ,169,"236,963",
25827,Desert Institute Of The Healing Arts                                  ,AZ,86,"122,346",
15324,Devoe College Of Beauty                                               ,AZ,51,"74,456",
8322,Devry Institute Of Technology                                         ,AZ,"2,768","5,668,803",
8246,Dine College                                                          ,AZ,"1,121","2,437,985",
10858,Earl'S Academy Of Beauty                                              ,AZ,77,"136,500",
1073,Eastern Arizona College                                               ,AZ,"1,217","2,246,376",
31563,Estrella Mountain Community College                                   ,AZ,744,"1,121,822",
8303,Gateway Community College                                             ,AZ,"1,341","1,895,906",
1076,Glendale Community College                                            ,AZ,"3,060","4,889,871",
1074,Grand Canyon University                                               ,AZ,462,"970,259",
34453,Hds Truck Driving Institute                                           ,AZ,49,"71,996",
15988,High-Tech Institute - Phoenix                                         ,AZ,"2,396","4,997,987",
14283,International Academy Of Hair Design                                  ,AZ,51,"105,091",
33473,International Baptist College                                         ,AZ,21,"38,308",
5186,Lamson Junior College                                                 ,AZ,131,"178,740",
13884,Long Technical College                                                ,AZ,335,"632,540",
15491,Maricopa Beauty College                                               ,AZ,35,"60,048",
1077,Mesa Community College                                                ,AZ,"3,434","5,828,946",
30812,Metropolitan College Of Court Reporting                               ,AZ,76,"153,138",
11864,Mohave Community College                                              ,AZ,650,"1,053,905",
30047,Mundus Institute                                                      ,AZ,30,"53,352",
31157,North American Technical College                                      ,AZ,152,"230,871",
31203,Northern Arizona College Of Health Careers                            ,AZ,23,"36,000",
1082,Northern Arizona University                                           ,AZ,"4,302","8,905,795",
11862,Northland Pioneer College                                             ,AZ,793,"1,450,014",
26236,Paradise Valley Community College                                     ,AZ,906,"1,454,606",
1078,Phoenix College                                                       ,AZ,"2,507","4,534,191",
34013,Phoenix First Pastors College                                         ,AZ,60,"143,545",
26238,Phoenix Therapeutic Massage College                                   ,AZ,138,"235,151",
7266,Pima County Community College                                         ,AZ,"5,917","11,136,785",
15666,Pima Medical Institute                                                ,AZ,"2,120","3,964,500",
13659,Prescott College                                                      ,AZ,297,"612,658",
14483,Rio Salado Community College                                          ,AZ,904,"1,094,088",
14740,Roberto-Venn School Of Luthiery                                       ,AZ,12,"20,869",
30050,Safford College Of Beauty Culture                                     ,AZ,52,"105,283",
25619,Scott  Cole Academy                                                   ,AZ,33,"56,358",
8304,Scottsdale Community College                                          ,AZ,950,"1,567,705",
26167,Scottsdale Culinary Institute                                         ,AZ,271,"531,996",
15001,South Mountain Community College                                      ,AZ,923,"1,537,607",
7113,Southwestern College                                                  ,AZ,89,"177,916",
14127,The Refrigeration School                                              ,AZ,105,"185,227",
14212,Tucson College                                                        ,AZ,282,"441,100",
8221,Universal Technical Institute                                         ,AZ,"2,450","4,452,824",
17188,University Of Advancing Computer Technology                           ,AZ,379,"639,935",
1083,University Of Arizona (The)                                           ,AZ,"6,068","13,268,419",
14593,University Of Phoenix                                                 ,AZ,"17,573","24,168,755",
14970,Western International University                                      ,AZ,179,"266,330",
1079,Yavapai College                                                       ,AZ,"1,068","1,751,831",
7531,Academy Of Art College                                                ,CA,"1,242","2,359,588",
30987,Academy Of Court Reporting - Academy Of Professional Careers          ,CA,751,"1,453,412",
23424,Academy Of Radio Broadcasting                                         ,CA,140,"246,250",
31303,Academy Of Radio Broadcasting (The)                                   ,CA,7,"11,888",
7605,Academy Pacific Travel College                                        ,CA,255,"588,337",
30199,Adelante Career Institute                                             ,CA,210,"365,571",
16897,Adrians Beauty College Of Turlock                                     ,CA,53,"110,945",
34053,Advanced Career Technologies Institute                                ,CA,6,"10,647",
14046,Alameda Beauty College                                                ,CA,54,"70,346",
14260,Alhambra Beauty College                                               ,CA,234,"510,962",
1111,Allan Hancock College                                                 ,CA,"1,670","3,101,502",
1158,Alliant International University - San Diego                          ,CA,238,"515,942",
14801,American Academy Of Dramatic Arts-West                                ,CA,66,"160,725",
13074,American Beauty College                                               ,CA,39,"85,547",
15829,American Career College                                               ,CA,"1,717","3,336,212",
25891,American College Of Business                                          ,CA,221,"422,261",
31444,American College Of Health Professions                                ,CA,25,"46,553",
31384,American College Of Medical Technology                                ,CA,388,"727,325",
14545,American Conservatory Theatre Foundation                              ,CA,6,"14,950",
32253,American Institute Of Health Sciences                                 ,CA,56,"99,050",
1232,American River College                                                ,CA,"3,787","7,663,465",
17265,Andon College                                                         ,CA,487,"975,232",
16307,Andon College Of Modesto                                              ,CA,472,"967,701",
1113,Antelope Valley College                                               ,CA,"2,003","3,348,249",
1116,Art Center College Of Design                                          ,CA,640,"1,650,892",
16471,Art Institute Of California - San Diego                               ,CA,192,"292,743",
16517,Art Institute Of Southern California                                  ,CA,99,"232,762",
25956,Asian - American International Beauty College                         ,CA,117,"236,019",
13988,Associated Technical College                                          ,CA,505,"1,206,205",
17134,Associated Technical College                                          ,CA,103,"244,160",
17135,Associated Technical College                                          ,CA,336,"731,791",
16894,Avance Beauty College                                                 ,CA,27,"64,999",
1117,Azusa Pacific University                                              ,CA,875,"1,815,474",
1118,Bakersfield College                                                   ,CA,"5,859","11,019,502",
30674,Baldwin Park Adult School                                             ,CA,127,"173,191",
1119,Barstow Community College                                             ,CA,558,"1,064,277",
7050,Bay Vista College Of Beauty                                           ,CA,120,"249,004",
1121,Bethany College Of The Assemblies Of God                              ,CA,208,"385,831",
32663,Bethesda Christian University                                         ,CA,21,"55,263",
1122,Biola University                                                      ,CA,590,"1,187,930",
13703,Brooks College                                                        ,CA,"1,174","2,533,396",
1123,Brooks Institute Of Photography -                                     ,CA,161,"349,647",
17050,Brownson Technical School                                             ,CA,25,"56,725",
7164,Bryan College Of Court Reporting                                      ,CA,85,"150,100",
