OPEID,Institution,State,Recipients,Awards
2202400,PROFESSIONAL COSMETOLOGY EDUCATION CENTER,AR,78,"201,952"
2075300,PULASKI TECHNICAL COLLEGE,AR,"3,047","7,476,836"
,QUAPAW TECHNICAL INSTITUTE,AR,155,"345,156"
2111100,RICH MOUNTAIN COMMUNITY COLLEGE,AR,544,"1,281,914"
2569600,SEARCY BEAUTY COLLEGE,AR,73,"156,750"
2074600,SOUTH ARKANSAS COMMUNITY COLLEGE,AR,521,"1,138,527"
570700,SOUTHEAST ARKANSAS COLLEGE,AR,"1,246","3,199,992"
110700,SOUTHERN ARKANSAS UNIVERSITY,AR,"1,480","4,042,752"
773800,SOUTHERN ARKANSAS UNIVERSITY TECH,AR,395,"1,008,074"
2339800,SOUTHERN INSTITUTE OF COSMETOLOGY,AR,138,"384,383"
110800,UNIVERSITY OF ARKANSAS,AR,"3,342","8,759,400"
111000,UNIVERSITY OF ARKANSAS AT FORT SMITH,AR,"2,289","5,350,866"
110100,UNIVERSITY OF ARKANSAS AT LITTLE ROCK,AR,"4,184","10,232,443"
108500,UNIVERSITY OF ARKANSAS AT MONTICELLO,AR,"1,443","3,980,594"
108502,UNIVERSITY OF ARKANSAS AT MONTICELLO - COLLEGE OF TECHNOLOGY CROSSETT,AR,75,"155,141"
108501,UNIVERSITY OF ARKANSAS AT MONTICELLO - COLLEGE OF TECHNOLOGY MCGEHEE,AR,101,"186,592"
108600,UNIVERSITY OF ARKANSAS AT PINE BLUFF,AR,"2,152","6,191,661"
2073500,UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE AT BATESVILLE,AR,886,"2,099,040"
573200,UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE AT HOPE,AR,747,"1,842,374"
524500,UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE AT MORRILTON,AR,"1,009","2,183,836"
110900,UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES,AR,264,"713,070"
109200,UNIVERSITY OF CENTRAL ARKANSAS,AR,"2,928","7,821,408"
109400,UNIVERSITY OF THE OZARKS,AR,225,"588,882"
3214300,VELVATEX COLLEGE OF BEAUTY CULTURE,AR,18,"54,262"
110600,WILLIAMS BAPTIST COLLEGE,AR,318,"836,182"
1001000,AMERICAN SAMOA COMMUNITY COLLEGE,AS,867,"2,280,176"
2199900,AMERICAN INDIAN COLLEGE OF THE ASSEMBLIES OF GOD,AZ,68,"206,926"
2317800,AMERICAN INSTITUTE OF TECHNOLOGY,AZ,416,"616,319"
2100600,APOLLO COLLEGE,AZ,"2,174","5,026,705"
886400,ARIZONA ACADEMY OF BEAUTY,AZ,113,"230,723"
1180200,ARIZONA ACADEMY OF BEAUTY - NORTH,AZ,110,"279,409"
1084700,ARIZONA AUTOMOTIVE INSTITUTE,AZ,696,"1,510,650"
3115000,ARIZONA COLLEGE OF ALLIED HEALTH,AZ,244,"463,006"
108100,ARIZONA STATE UNIVERSITY,AZ,"10,466","25,949,083"
107100,ARIZONA WESTERN COLLEGE,AZ,"2,512","5,540,485"
2491500,ART CENTER DESIGN COLLEGE (THE),AZ,392,"922,590"
1180800,ARTISTIC BEAUTY COLLEGES - FLAGSTAFF,AZ,255,"550,132"
2220300,ARTISTIC BEAUTY COLLEGES - GLENDALE,AZ,158,"376,215"
1234300,ARTISTIC BEAUTY COLLEGES - PHOENIX,AZ,185,"383,052"
1293700,ARTISTIC BEAUTY COLLEGES - SCOTTSDALE,AZ,58,"122,028"
886500,ARTISTIC BEAUTY COLLEGES - TUCSON,AZ,227,"487,845"
3076400,BRYMAN SCHOOL (THE) - PHOENIX,AZ,"3,876","9,353,421"
3097800,CARSTEN INSTITUTE OF HAIR AND BEAUTY,AZ,69,"121,208"
728300,CENTRAL ARIZONA COLLEGE,AZ,"1,210","2,664,315"
3072200,CHANDLER-GILBERT COMMUNITY COLLEGE,AZ,881,"1,710,370"
945100,CHAPARRAL COLLEGE,AZ,482,"1,050,872"
2280500,CHARLES OF ITALY BEAUTY COLLEGE,AZ,56,"132,992"
107200,COCHISE COLLEGE,AZ,"2,148","4,799,398"
3100400,COCONINO COUNTY COMMUNITY COLLEGE-FLAGSTAFF LONE TREE CAMPUS & DIST.OF,AZ,605,"1,127,634"
3120300,COLLEGEAMERICA,AZ,79,"211,129"
2174900,COLLINS COLLEGE,AZ,"1,386","3,443,770"
3034400,CONSERVATORY OF RECORDING ARTS & SCIENCES,AZ,180,"324,561"
2582700,DESERT INSTITUTE OF THE HEALING ARTS,AZ,117,"216,386"
2173300,DEVOE COLLEGE OF BEAUTY,AZ,63,"116,638"
