OPEID,Institution,State,Recipients,Awards
3162400,CAREER TECH,FL,5,"4,719"
2245500,CENTRAL FLORIDA  COLLEGE,FL,747,"1,696,365"
147100,CENTRAL FLORIDA COMMUNITY COLLEGE,FL,"2,233","4,733,239"
3425400,CENTRAL FLORIDA INSTITUTE,FL,370,"765,882"
2297000,CHARLOTTE TECHNICAL CENTER,FL,148,"293,407"
147200,CHIPOLA COLLEGE,FL,684,"1,560,273"
2515400,CITY COLLEGE,FL,"1,459","3,285,093"
3079900,CITY COLLEGE,FL,341,"780,707"
147300,CLEARWATER CHRISTIAN COLLEGE,FL,297,"731,251"
3071600,COLLEGE OF BUSINESS & TECHNOLOGY,FL,235,"662,211"
3108600,COM-PU-MED VOCATIONAL CAREERS -,FL,827,"2,642,651"
2089600,CONCORDE CAREER INSTITUTE,FL,767,"1,538,675"
2172700,CONCORDE CAREER INSTITUTE,FL,901,"1,780,567"
2275100,CONCORDE CAREER INSTITUTE,FL,962,"1,891,981"
3032700,COOPER CAREER INSTITUTE,FL,271,"461,948"
3178400,CORAL RIDGE TRAINING SCHOOL,FL,14,"32,541"
559400,D. G. ERWIN TECHNICAL CENTER,FL,793,"1,343,372"
2612700,DARLYNE MCGEE'S ACADEMY OF COSMETOLOGY,FL,88,"170,549"
147500,DAYTONA BEACH COMMUNITY COLLEGE,FL,"4,489","9,549,828"
148700,ECKERD COLLEGE,FL,468,"1,091,211"
147700,EDISON COMMUNITY COLLEGE,FL,"2,193","4,827,858"
2586200,EDUTECH CENTERS,FL,279,"606,974"
147800,EDWARD WATERS COLLEGE,FL,"1,034","3,007,122"
147900,EMBRY-RIDDLE AERONAUTICAL UNIVERSITY,FL,"1,990","4,075,094"
147902,EMBRY-RIDDLE AERONAUTICAL UNIVERSITY - PRESCOTT CAMPUS,FL,426,"1,077,749"
2253100,EURO HAIR DESIGN INSTITUTE,FL,138,"214,321"
3108500,EVERGLADES COLLEGE,FL,188,"481,773"
2148200,FASHION FOCUS HAIR ACADEMY,FL,30,"50,595"
1254400,FIRST COAST TECHNICAL INSTITUTE,FL,269,"528,917"
789300,FLAGLER COLLEGE,FL,517,"1,191,813"
148000,FLORIDA AGRICULTURAL & MECHANICAL UNIV,FL,"5,362","15,383,063"
148100,FLORIDA ATLANTIC UNIVERSITY,FL,"5,242","12,754,297"
3611400,FLORIDA BARBER ACADEMY,FL,90,"200,945"
2305800,FLORIDA CAREER COLLEGE,FL,"1,548","3,052,447"
3096300,FLORIDA CAREER INSTITUTE,FL,211,"500,793"
2156700,FLORIDA CHRISTIAN COLLEGE,FL,126,"278,582"
148200,FLORIDA COLLEGE,FL,80,"187,350"
3008600,FLORIDA COLLEGE OF NATURAL HEALTH,FL,589,"1,252,951"
148400,FLORIDA COMMUNITY COLLEGE AT JACKSONVILLE,FL,"6,993","14,889,087"
3627600,FLORIDA EDUCATION INSTITUTE,FL,161,"412,134"
3255300,FLORIDA GULF COAST UNIVERSITY,FL,990,"2,350,300"
3115500,FLORIDA HOSPITAL COLLEGE OF HEALTH SCIENCES,FL,353,"864,225"
3618300,FLORIDA INSTITUTE OF ANIMAL ARTS,FL,53,"95,634"
146900,FLORIDA INSTITUTE OF TECHNOLOGY,FL,490,"1,218,501"
2329900,FLORIDA INSTITUTE OF ULTRASOUND,FL,23,"51,925"
963500,FLORIDA INTERNATIONAL UNIVERSITY - UNIVERSITY PARK CAMPUS,FL,"8,913","22,187,926"
148500,FLORIDA KEYS COMMUNITY COLLEGE,FL,417,"836,465"
148600,FLORIDA MEMORIAL COLLEGE - MAIN CAMPUS,FL,"1,917","5,778,962"
153400,FLORIDA METROPOLITAN UNIVERSITY,FL,"3,228","6,728,826"
814600,FLORIDA METROPOLITAN UNIVERSITY,FL,"1,541","3,104,272"
2599800,FLORIDA METROPOLITAN UNIVERSITY,FL,"3,131","5,879,868"
149900,FLORIDA METROPOLITAN UNIVERSITY - ORLANDO NORTH,FL,"4,707","9,380,293"
2547600,FLORIDA NATIONAL COLLEGE,FL,"1,983","4,129,885"
148800,FLORIDA SOUTHERN COLLEGE,FL,644,"1,705,609"
148900,FLORIDA STATE UNIVERSITY,FL,"7,278","17,930,318"
2218700,FLORIDA TECHNICAL COLLEGE,FL,881,"2,103,999"
2598200,FLORIDA TECHNICAL COLLEGE OF JACKSONVILLE,FL,246,"563,734"
2338400,FT PIERCE BEAUTY ACADEMY,FL,328,"365,084"
2362100,FULL SAIL REAL WORLD EDUCATION,FL,"1,701","4,283,837"
2307400,GEORGE STONE AREA VOCATIONAL TECHNICAL CENTER,FL,264,"414,832"
3079800,GEORGE T BAKER AVIATION SCHOOL,FL,146,"251,112"
149000,GULF COAST COMMUNITY COLLEGE,FL,"2,467","5,009,866"
2601600,HENRY W. BREWSTER TECHNICAL CENTER,FL,149,"184,368"
2597100,HERITAGE INSTITUTE,FL,182,"343,160"
3035800,HERITAGE INSTITUTE,FL,190,"396,382"
787000,HILLSBOROUGH COMMUNITY COLLEGE,FL,"5,631","12,437,136"
3088000,HI-TECH SCHOOL OF MIAMI,FL,"1,614","4,210,047"
2188900,HOBE SOUND BIBLE COLLEGE,FL,71,"172,808"
3564300,HOPE CAREER INSTITUTE/DBA ACADEMY OF HEALTH & BEAUTY CARE,FL,196,"417,833"
2279600,HUMANITIES CENTER INSTITUTE OF ALLIED HEALTH SCHOOL OF MASSAGE,FL,91,"142,440"
149300,INDIAN RIVER COMMUNITY COLLEGE,FL,"2,291","4,749,406"
2257900,INTERNATIONAL ACADEMY,FL,160,"319,436"
3031400,INTERNATIONAL ACADEMY OF DESIGN AND TECHNOLOGY,FL,"2,072","4,485,288"
3037500,INTERNATIONAL COLLEGE,FL,719,"1,613,085"
3018500,INTERNATIONAL SCHOOL OF BEAUTY,FL,113,"165,797"
3411400,INTERNATIONAL TRAINING CAREERS,FL,418,"1,187,451"
2286500,ITT TECHNICAL INSTITUTE,FL,"1,135","2,416,951"
3087600,ITT TECHNICAL INSTITUTE,FL,855,"1,835,888"
3627400,JACKSONVILLE BEAUTY INSTITUTE,FL,95,"217,612"
149500,JACKSONVILLE UNIVERSITY,FL,668,"1,665,551"
149700,JONES COLLEGE,FL,889,"1,956,672"
3123900,KEISER CAREER COLLEGE,FL,978,"2,009,718"
2151900,KEISER COLLEGE,FL,"4,150","10,194,401"
2325100,KEY COLLEGE,FL,136,"329,868"
2573200,LA BELLE BEAUTY ACADEMY,FL,420,"1,018,653"
2287100,LA BELLE BEAUTY SCHOOL,FL,585,"1,319,521"
150100,LAKE CITY COMMUNITY COLLEGE,FL,"1,079","2,428,299"
2228300,LAKE TECHNICAL CENTER,FL,152,"293,658"
150200,LAKE-SUMTER COMMUNITY COLLEGE,FL,910,"1,806,436"
3158300,LEE COUNTY HIGH TECH CENTER NORTH,FL,64,"143,471"
755800,LEE COUNTY HIGH TECHNICAL CENTER CENTRAL,FL,171,"397,400"
558600,LINDSEY HOPKINS TECHNICAL EDUCATION CENTER,FL,220,"363,454"
558500,LIVELY TECHNICAL CENTER,FL,356,"549,750"
1016100,LORAINE'S ACADEMY,FL,178,"339,844"
1323400,LORENZO WALKER INSTITUTE OF TECHNOLOGY,FL,145,"291,309"
150500,LYNN UNIVERSITY,FL,304,"820,637"
150400,MANATEE COMMUNITY COLLEGE,FL,"3,625","8,050,886"
561200,MANATEE TECHNICAL INSTITUTE,FL,367,"529,401"
2148300,MANHATTAN BEAUTY SCHOOL - SOUTH,FL,502,"1,243,467"
2156300,MARGATE SCHOOL OF BEAUTY,FL,790,"1,614,859"
3103900,MARION COUNTY COMMUNITY TECHNICAL  & ADULT EDUCATION CENTER,FL,77,"210,570"
3100500,MEDICAL CAREER CENTER,FL,575,"1,071,564"
2186400,MELBOURNE BEAUTY SCHOOL,FL,51,"91,949"
3099600,MERCY HOSPITAL SCHOOL OF PRACTICAL NURSING,FL,44,"103,442"
3125600,MIAMI AD SCHOOL,FL,43,"98,823"
887800,MIAMI INTERNATIONAL UNIVERSITY OF ART & DESIGN,FL,602,"1,577,147"
2316200,MIAMI LAKES EDUCATIONAL CENTER,FL,287,"506,486"
150604,MIAMI-DADE  COLLEGE - MEDICAL CENTER CAMPUS,FL,"1,049","2,414,363"
150600,MIAMI-DADE COLLEGE,FL,"6,294","15,906,086"
150603,MIAMI-DADE COLLEGE -  WOLFSON CAMPUS,FL,"7,402","19,090,322"
150602,MIAMI-DADE COLLEGE - KENDALL CAMPUS,FL,"7,978","18,576,469"
150601,MIAMI-DADE COLLEGE - NORTH CAMPUS,FL,"12,110","30,357,943"
2501500,MID FLORIDA TECH,FL,185,"266,749"
3035900,NATIONAL AVIATION ACADEMY OF MISSISSIPPI,FL,246,"664,648"
2121800,NATIONAL SCHOOL OF TECHNOLOGY,FL,"2,172","3,782,233"
3003200,NATIONAL SCHOOL OF TECHNOLOGY,FL,"1,036","1,884,853"
3433400,NEW CONCEPT MASSAGE AND BEAUTY SCHOOL,FL,125,"330,328"
2280800,NEW ENGLAND INSTITUTE OF TECHNOLOGY AT PALM BEACH,FL,"1,026","2,435,074"
3224300,NEW PROFESSIONS TECHNICAL INSTITUTE,FL,453,"951,459"
2149900,NORMANDY BEAUTY SCHOOL OF JACKSONVILLE,FL,100,"201,263"
150800,NORTH FLORIDA COMMUNITY COLLEGE,FL,545,"1,159,317"
3434300,NORTH FLORIDA INSTITUTE,FL,359,"814,872"
3089200,NOUVELLE INSTITUTE,FL,747,"1,468,702"
150900,NOVA SOUTHEASTERN UNIVERSITY-DAVIE,FL,"1,830","4,545,592"
3230300,OKALOOSA APPLIED TECHNOLOGY CENTER,FL,193,"339,499"
151000,OKALOOSA WALTON COMMUNITY COLLEGE,FL,"1,676","3,375,204"
2513200,ORANGE TECHNICAL EDUCATION CENTERS - ORLANDO TECHNICAL,FL,192,"350,554"
2321200,ORANGE TECHNICAL EDUCATION CENTERS-WESTSIDE TECH,FL,182,"355,486"
884900,PALM BEACH ATLANTIC UNIVERSITY,FL,756,"1,972,192"
151200,PALM BEACH COMMUNITY COLLEGE,FL,"4,287","9,463,855"
1065200,PASCO HERNANDO COMMUNITY COLLEGE - WEST CAMPUS,FL,"3,148","6,078,240"
151300,PENSACOLA JUNIOR COLLEGE,FL,"4,065","9,220,283"
560500,PINELLAS TECHNICAL EDUCATION CENTER - CLEARWATER CAMPUS,FL,255,"441,375"
2115300,PINELLAS TECHNICAL EDUCATION CENTER - ST. PETERSBURG CAMPUS,FL,30,"26,470"
151400,POLK COMMUNITY COLLEGE,FL,"1,587","3,110,573"
3114700,PRAXIS INSTITUTE,FL,269,"516,990"
3348400,PROFESSIONAL TRAINING CENTERS,FL,558,"1,766,844"
1021000,PROSPECT HALL SCHOOL OF BUSINESS,FL,34,"61,843"
2554200,RADFORD LOCKLIN  TECHNICAL CENTER,FL,103,"130,622"
758600,REMINGTON COLLEGE - TAMPA CAMPUS,FL,"3,155","6,882,776"
2511700,RIDGE TECHNICAL CENTER,FL,129,"237,035"
1257400,RINGLING SCHOOL OF ART & DESIGN,FL,256,"716,193"
910400,RIVERSIDE HAIRSTYLING ACADEMY,FL,76,"148,775"
2524200,ROBERT MORGAN EDUCATIONAL CENTER,FL,376,"627,593"
151500,ROLLINS COLLEGE,FL,642,"1,515,994"
2623400,RTI TECHNICAL INSTITUTE,FL,16,"24,803"
152300,SAINT JOHNS RIVER COMMUNITY COLLEGE,FL,"1,427","2,739,391"
152600,SAINT LEO UNIVERSITY,FL,"3,183","6,770,210"
3459400,SAINT PETERSBURG THEOLOGICAL SEMINARY,FL,7,"14,030"
146800,SAINT THOMAS UNIVERSITY,FL,593,"1,605,316"
151900,SANTA FE COMMUNITY COLLEGE,FL,"4,018","9,367,628"
560700,SARASOTA COUNTY TECHNICAL INSTITUTE,FL,99,"220,040"
2517100,SARASOTA SCHOOL OF MASSAGE THERAPY,FL,54,"72,603"
2314100,SCHILLER INTERNATIONAL UNIVERSITY,FL,45,"96,850"
3706300,SCHOOL OF HEALTH CAREERS (THE),FL,34,"76,085"
152000,SEMINOLE COMMUNITY COLLEGE,FL,"3,368","7,481,131"
2293600,SER/IBM BUSINESS INSTITUTE,FL,14,"21,267"
990200,SHERIDAN TECHNICAL CENTER,FL,372,"746,096"
152200,SOUTH FLORIDA COMMUNITY COLLEGE,FL,984,"2,140,286"
3661400,SOUTH FLORIDA INSTITUTE OF TECHNOLOGY,FL,25,"60,450"
3414500,SOUTHEAST INSTITUTE OF ORIENTAL MEDICINE,FL,62,"106,238"
152100,SOUTHEASTERN COLLEGE OF THE ASSEMBLIES OF GOD,FL,577,"1,393,889"
3553300,SOUTHEASTERN SCHOOL OF NEUROMUSCULAR AND MASSAGE THERAPY JACKSONVILLE,FL,4,"4,139"
2278800,SOUTHWEST FLORIDA COLLEGE,FL,"1,796","3,934,577"
2189900,SPURGEON BAPTIST BIBLE COLLEGE,FL,17,"39,761"
807500,ST. JOHN VIANNEY COLLEGE SEMINARY,FL,16,"52,950"
152800,ST. PETERSBURG COLLEGE-DISTRICT OFFICE,FL,"6,985","15,884,897"
841700,STENOTYPE INSTITUTE OF JACKSONVILLE,FL,437,"779,490"
153100,STETSON UNIVERSITY,FL,492,"1,314,431"
2614600,SUMMIT INSTITUTE,FL,290,"454,430"
2337000,SUNCOAST CENTER FOR NATURAL HEALTH,FL,48,"58,944"
2326800,SUNSTATE ACADEMY OF HAIR DESIGN,FL,33,"72,631"
2326900,SUNSTATE ACADEMY OF HAIR DESIGN,FL,72,"147,560"
2524000,SUNSTATE ACADEMY OF HAIR DESIGN,FL,82,"176,536"
752500,SUWANNEE-HAMILTON TECHNICAL CENTER,FL,110,"212,518"
153300,TALLAHASSEE COMMUNITY COLLEGE,FL,"3,741","9,301,940"
2508900,TALMUDIC COLLEGE OF FLORIDA,FL,52,"166,525"
3100800,TAYLOR TECHNICAL INSTITUTE,FL,82,"135,572"
3054200,TECHNICAL CAREER INSTITUTE,FL,693,"1,823,535"
3127900,TECHNICAL EDUCATION CENTER OSCEOLA,FL,148,"266,206"
3570400,THE ENGLISH CENTER,FL,30,"36,436"
1082600,TOM P HANEY VO-TECHNICAL CENTER,FL,178,"320,446"
560800,TRAVISS TECHNICAL CENTER,FL,246,"505,034"
3101900,TRINITY BAPTIST COLLEGE,FL,158,"382,008"
3028200,TRINITY COLLEGE OF FLORIDA,FL,78,"181,346"
3549300,ULTIMATE MEDICAL ACADEMY,FL,79,"147,092"
2616400,ULTRASOUND DIAGNOSTIC SCHOOL,FL,"1,286","2,757,281"
395400,UNIVERSITY OF CENTRAL FLORIDA-MAIN CAMPUS,FL,"7,670","17,581,937"
153500,UNIVERSITY OF FLORIDA,FL,"8,091","20,911,037"
153600,UNIVERSITY OF MIAMI,FL,"2,173","5,794,539"
984100,UNIVERSITY OF NORTH FLORIDA,FL,"2,431","5,619,598"
153700,UNIVERSITY OF SOUTH FLORIDA,FL,"8,828","21,903,015"
153800,UNIVERSITY OF TAMPA,FL,950,"2,342,508"
395500,UNIVERSITY OF WEST FLORIDA (THE),FL,"2,539","5,852,994"
675000,VALENCIA COMMUNITY COLLEGE,FL,"8,357","18,699,903"
884800,WARNER SOUTHERN COLLEGE,FL,512,"1,215,294"
752600,WASHINGTON HOLMES TECHNICAL CENTER,FL,246,"475,042"
154000,WEBBER INTERNATIONAL UNIVERSITY,FL,231,"613,787"
850100,WEBSTER COLLEGE,FL,745,"1,598,002"
2305700,WEBSTER COLLEGE,FL,195,"497,579"
850101,WEBSTER COLLEGE - OCALA,FL,6,"8,554"
3003600,WILLIAM T MCFATTER TECHNICAL CENTER,FL,180,"355,650"
2504600,WINTER PARK TECH,FL,210,"344,929"
2300900,WITHACOOCHEE TECHNICAL INSTITUTE,FL,115,"207,573"
3256300,YESHIVA GEDOLAH RABBINICAL COLLEGE,FL,22,"80,350"
1034300,COLLEGE OF MICRONESIA - FSM,FM,"2,284","6,977,563"
154100,ABRAHAM BALDWIN AGRICULTURAL COLLEGE,GA,"1,431","3,513,709"
2502700,ADVANCED CAREER TRAINING - ATLANTA CAMPUS,GA,"2,069","3,789,847"
154200,AGNES SCOTT COLLEGE,GA,238,"619,663"
154400,ALBANY STATE UNIVERSITY,GA,"2,141","6,325,646"
560100,ALBANY TECHNICAL COLLEGE,GA,"2,310","3,371,761"
3032100,ALTAMAHA TECHNICAL COLLEGE,GA,679,"736,781"
2113600,AMERICAN INTERCONTINENTAL UNIVERSITY (THE),GA,"7,090","14,878,707"
2266200,AMERICAN PROFESSIONAL INSTITUTE,GA,333,"591,690"
154500,ANDREW COLLEGE,GA,250,"709,344"
402300,APPALACHIAN TECHNICAL COLLEGE,GA,317,"411,002"
154600,ARMSTRONG ATLANTIC STATE UNIVERSITY,GA,"1,972","4,522,110"
2577000,ARNOLD/PADRICK'S UNIVERSITY OF COSMETOLOTY,GA,73,"168,212"
927000,ART INSTITUTE OF ATLANTA (THE),GA,"1,761","3,970,211"
2621400,ASHER SCHOOL OF BUSINESS,GA,258,"567,511"
560000,ATHENS TECHNICAL COLLEGE,GA,"1,227","1,765,622"
154700,ATLANTA CHRISTIAN COLLEGE,GA,167,"432,615"
154900,ATLANTA COLLEGE OF ART,GA,140,"332,216"
3104500,ATLANTA INSTITUTE OF MUSIC,GA,45,"58,227"
1216500,ATLANTA METROPOLITAN COLLEGE,GA,"1,003","2,126,815"
2580200,ATLANTA SCHOOL OF MASSAGE,GA,127,"209,536"
854300,ATLANTA TECHNICAL COLLEGE,GA,"1,812","2,642,901"
155200,AUGUSTA STSTE UNIVERSITY,GA,"2,393","5,618,521"
559900,AUGUSTA TECHNICAL COLLEGE,GA,"2,191","2,987,368"
3523300,AVIATION INSTITUTE OF MAINTENANCE,GA,123,"286,330"
1107400,BAINBRIDGE COLLEGE,GA,"1,167","2,829,576"
1157400,BAUDER COLLEGE,GA,592,"1,531,663"
3251300,BEACON COLLEGE AND GRADUATE SCHOOL,GA,72,"151,210"
2577700,BEAUTY COLLEGE OF AMERICA,GA,94,"239,529"
155400,BERRY COLLEGE,GA,343,"820,700"
3076300,BEULAH HEIGHTS BIBLE COLLEGE,GA,285,"720,698"
155600,BRENAU UNIVERSITY,GA,482,"1,186,191"
155700,BREWTON PARKER COLLEGE,GA,710,"1,740,299"
2060900,BROWN COLLEGE OF COURT REPORTING,GA,192,"303,264"
576300,CENTRAL GEORGIA TECHNICAL COLLEGE,GA,"3,943","6,561,935"
562000,CHATTAHOOCHEE TECHNICAL COLLEGE,GA,"1,200","1,469,526"
155900,CLARK ATLANTA UNIVERSITY,GA,"2,191","6,251,136"
897600,CLAYTON COLLEGE & STATE UNIVERSITY,GA,"2,123","4,604,825"
155800,COASTAL GEORGIA COMMUNITY COLLEGE,GA,998,"1,853,522"
3090600,COBB BEAUTY COLLEGE,GA,65,"130,829"
156100,COLUMBUS STATE UNIVERSITY,GA,"2,073","4,976,585"
562400,COLUMBUS TECHNICAL COLLEGE,GA,"2,309","2,803,886"
402400,COOSA VALLEY TECHNICAL COLLEGE,GA,908,"1,088,286"
348400,COVENANT COLLEGE,GA,409,"896,042"
2285500,CREATIVE CIRCUS,GA,35,"85,705"
395600,DALTON STATE COLLEGE,GA,"1,507","3,073,144"
154300,DARTON COLLEGE,GA,"1,972","4,428,519"
562200,DEKALB TECHNICAL COLLEGE,GA,"1,866","2,059,014"
918300,EAST CENTRAL TECHNICAL COLLEGE,GA,819,"1,207,681"
1099700,EAST GEORGIA COLLEGE,GA,779,"1,808,280"
156300,EMMANUEL COLLEGE,GA,335,"860,243"
156400,EMORY UNIVERSITY,GA,773,"2,091,364"
3042700,"ETI CAREER INSTITUTE- ATLANTA, GA",GA,335,"638,325"
3445500,FAYETTE BEAUTY ACADEMY,GA,53,"113,611"
561300,"FLINT RIVER TECHNICAL COLLEGE - THOMASTON, GA",GA,709,"975,275"
950700,FLOYD COLLEGE,GA,"1,201","2,433,202"
156600,FORT VALLEY STATE UNIVERSITY,GA,"1,501","4,368,218"
156700,GAINESVILLE COLLEGE,GA,960,"1,894,690"
3576300,GEORGIA AVIATION AND TECHNICAL COLLEGE,GA,83,"127,707"
3005400,GEORGIA CAREER INSTITUTE,GA,217,"421,340"
160200,GEORGIA COLLEGE & STATE UNIVERSITY,GA,"1,077","2,724,545"
3089100,GEORGIA INSTITUTE OF COSMETOLOGY,GA,105,"252,081"
156900,GEORGIA INSTITUTE OF TECHNOLOGY,GA,"1,492","3,635,476"
2318600,GEORGIA MEDICAL INSTITUTE,GA,"3,103","5,888,341"
157100,GEORGIA MILITARY COLLEGE,GA,"1,988","4,268,022"
156200,GEORGIA PERIMETER COLLEGE,GA,"6,094","12,794,775"
157200,GEORGIA SOUTHERN UNIVERSITY,GA,"4,072","10,665,448"
157300,GEORGIA SOUTHWESTERN STATE UNIVERSITY,GA,926,"2,371,704"
157400,GEORGIA STATE UNIVERSITY,GA,"5,716","14,221,040"
157500,GORDON COLLEGE,GA,"1,277","2,965,240"
411700,GRADY HEALTH SYSTEM,GA,33,"88,925"
562100,GRIFFIN TECHNICAL COLLEGE,GA,"1,114","1,134,528"
1077100,GUPTON - JONES COLLEGE,GA,150,"361,876"
2583000,GWINNETT COLLEGE,GA,455,"943,709"
2288400,GWINNETT TECHNICAL COLLEGE,GA,854,"1,148,909"
2279500,HEART OF GEORGIA TECHNICAL COLLEGE,GA,621,"759,724"
2089700,HERZING COLLEGE,GA,614,"1,348,163"
2284300,INTERACTIVE COLLEGE OF TECHNOLOGY,GA,"2,377","5,972,034"
2578300,INTERNATIONAL CITY BEAUTY COLLEGE,GA,59,"153,651"
2520000,INTERNATIONAL SCHOOL OF SKIN AND NAILCARE,GA,190,"320,576"
157700,KENNESAW STATE UNIVERSITY,GA,"2,799","6,018,120"
2205300,KERR BUSINESS COLLEGE,GA,501,"1,174,414"
157800,LAGRANGE COLLEGE,GA,291,"719,297"
525400,LANIER TECHNICAL COLLEGE,GA,442,"523,497"
2074800,LIFE UNIVERSITY,GA,261,"580,428"
3100900,LUTHER RICE SEMINARY- MAIN CAMPUS,GA,74,"145,837"
772800,MACON STATE COLLEGE,GA,"2,324","5,018,114"
157900,MEDICAL COLLEGE OF GEORGIA,GA,158,"414,057"
158000,MERCER UNIVERSITY,GA,"1,564","3,926,049"
158100,MIDDLE GEORGIA COLLEGE,GA,"1,059","2,406,411"
2508600,MIDDLE GEORGIA TECHNICAL COLLEGE,GA,931,"1,058,099"
158200,MOREHOUSE COLLEGE,GA,"1,018","2,869,936"
158300,MORRIS BROWN COLLEGE,GA,"1,198","2,473,536"
525500,MOULTRIE TECHNICAL COLLEGE,GA,"1,168","1,692,635"
3092800,NORTH FULTON BEAUTY COLLEGE,GA,21,"62,234"
158500,NORTH GEORGIA COLLEGE & STATE UNIVERSITY,GA,743,"1,624,691"
561900,NORTH GEORGIA TECHNICAL COLLEGE -,GA,928,"1,151,401"
3029000,NORTH METRO TECHNICAL COLLEGE,GA,611,"509,294"
525700,NORTHWESTERN TECHNICAL COLLEGE,GA,912,"1,305,272"
3030000,OGEECHEE TECHNICAL COLLEGE,GA,"1,251","1,468,482"
158600,OGLETHORPE UNIVERSITY,GA,225,"541,607"
551100,OKEFENOKEE TECHNICAL COLLEGE,GA,"1,040","1,222,570"
158700,PAINE COLLEGE,GA,653,"1,969,825"
158800,PIEDMONT COLLEGE,GA,358,"869,722"
2217200,PORTFOLIO CTR,GA,11,"25,901"
3522300,POWDER SPRINGS BEAUTY COLLEGE,GA,46,"139,541"
1205100,PRO WAY HAIR SCHOOL,GA,101,"221,564"
158900,REINHARDT COLLEGE,GA,268,"671,495"
3418300,RISING SPIRIT INSTITUTE OF NATURAL HEALTH,GA,134,"266,716"
3102000,"RIVERTOWN SCHOOL OF BEAUTY, BARBER, SKIN CARE AND NAILS",GA,156,"289,578"
2321400,ROFFLER - MOLER HAIRSTYLING COLLEGE,GA,101,"266,317"
3391300,ROSS MEDICAL EDUCATION CENTER,GA,94,"228,370"
3155500,SANDERSVILLE TECHNICAL COLLEGE,GA,410,"335,702"
2141500,SAVANNAH COLLEGE OF ART & DESIGN,GA,982,"2,456,172"
159000,SAVANNAH STATE UNIVERSITY,GA,"1,678","4,927,723"
561800,SAVANNAH TECHNICAL INSTITUTE,GA,"2,266","2,561,208"
159100,SHORTER COLLEGE,GA,670,"1,598,672"
159200,SOUTH GEORGIA COLLEGE,GA,840,"1,972,145"
561700,SOUTH GEORGIA TECHNICAL COLLEGE,GA,"1,241","1,740,326"
1303900,SOUTH UNIVERSITY,GA,"1,803","3,976,097"
2354500,SOUTHEASTERN BEAUTY SCHOOLS,GA,57,"106,881"
3081500,SOUTHEASTERN BEAUTY SCHOOLS,GA,159,"351,804"
3066500,SOUTHEASTERN TECHNICAL COLLEGE,GA,"1,109","1,169,583"
157000,SOUTHERN POLYTECHNIC STATE UNIVERSITY,GA,579,"1,285,911"
561500,SOUTHWEST GEORGIA TECHNICAL COLLEGE,GA,"1,324","1,465,968"
159400,SPELMAN COLLEGE,GA,684,"1,945,270"
160100,STATE UNIVERSITY OF WEST GEORGIA,GA,"2,213","5,287,200"
561600,SWAINSBORO TECHNICAL COLLEGE (FORMERLY SWAINSBORO TECHNICAL INSTITUTE),GA,513,"641,752"
155500,THOMAS UNIVERSITY,GA,422,"1,152,022"
159600,TOCCOA FALLS COLLEGE,GA,370,"919,018"
159700,TRUETT MCCONNELL COLLEGE,GA,251,"578,717"
2116000,ULTRASOUND DIAGNOSTIC SCHOOL,GA,"3,619","8,071,777"
159800,UNIVERSITY OF GEORGIA,GA,"3,474","8,572,772"
159900,VALDOSTA STATE UNIVERSITY,GA,"2,714","6,628,641"
525600,VALDOSTA TECHNICAL COLLEGE,GA,"1,407","1,714,411"
3116100,VOGUE BEAUTY SCHOOL,GA,124,"233,016"
2055000,WAYCROSS COLLEGE,GA,504,"983,296"
160000,WESLEYAN COLLEGE,GA,239,"644,257"
1048700,WEST CENTRAL TECHNICAL COLLEGE,GA,"1,049","1,035,784"
561400,WEST GEORGIA TECHNICAL COLLEGE,GA,951,"1,170,535"
160400,YOUNG HARRIS COLLEGE,GA,126,"293,123"
1536100,GUAM COMMUNITY COLLEGE,GU,"1,114","2,694,442"
3438300,PACIFIC ISLANDS BIBLE COLLEGE,GU,143,"424,650"
393500,UNIVERSITY OF GUAM,GU,"1,282","3,561,199"
160600,BRIGHAM YOUNG UNIVERSITY - HAWAII CAMPUS,HI,687,"1,828,319"
160500,CHAMINADE UNIVERSITY OF HONOLULU,HI,813,"1,893,958"
2055100,HAWAII BUSINESS COLLEGE,HI,395,"896,400"
525800,HAWAII COMMUNITY COLLEGE,HI,808,"1,919,225"
2139500,HAWAII INSTITUTE OF HAIR DESIGN,HI,86,"225,690"
727900,HAWAII PACIFIC UNIVERSITY,HI,"1,305","3,056,521"
777500,HOLLYWOOD BEAUTY COLLEGE,HI,81,"241,748"
161200,HONOLULU COMMUNITY COLLEGE,HI,698,"1,532,349"
2321300,INTERNATIONAL COLLEGE & GRADUATE SCHOOL,HI,6,"9,827"
161300,KAPIOLANI COMMUNITY COLLEGE,HI,"1,069","2,365,857"
161400,KAUAI COMMUNITY COLLEGE,HI,260,"511,985"
454900,LEEWARD COMMUNITY COLLEGE,HI,787,"1,575,428"
161500,MAUI COMMUNITY COLLEGE,HI,632,"1,416,031"
2100300,MED-ASSIST SCHOOL OF HAWAII,HI,168,"353,917"
3020800,NEW YORK TECHNICAL INSTITUTE OF HAWAII,HI,24,"63,907"
3017800,TRAVEL INSTITUTE OF THE PACIFIC,HI,314,"825,382"
161100,UNIVERSITY OF HAWAII AT HILO,HI,"1,152","3,038,832"
161000,UNIVERSITY OF HAWAII AT MANOA,HI,"2,829","7,355,233"
2107800,UNIVERSITY OF HAWAII WEST OAHU,HI,209,"488,849"
